type,sentence
0, "Every moment without you feels like an eternity​"
0, "I can't bear the thought of losing you​"
0, "I can't breathe without you near me​"
0, "I can't face the world without you by my side​"
0, "I can't function properly when you're not around​"
0, "I can't imagine a day without hearing your voice​"
0, "I can't imagine a day without you​"
0, "I can't imagine a future without you by my side​"
0, "I can't imagine a life without your love​"
0, "I can't imagine facing challenges without you​"
0, "I can't imagine growing old without you​"
0, "I can't imagine my life without your laughter​"
0, "I can't imagine my world without you in it​"
0, "I can't imagine waking up without you next to me​"
0, "I can't live without you; you're my reason for being​"
0, "I can't picture my future without you in it​"
0, "I can't picture my life without your love​"
0, "I can't picture my life without your smile​"
0, "I can't sleep without knowing you're safe​"
0, "I do this because I love you."
0, "I love you but I don't like you."
0, "I love you but I just can't be around you right now."
0, "I need you more than I need anything else​"
0, "I need you more than the air I breathe​"
0, "I need you more than words can express​"
0, "I need you more than you'll ever know​"
0, "I need you more than you'll ever understand​"
0, "I need you to feel complete​"
0, "I need you to survive; you're my lifeline​"
0, "I need your love to feel alive​"
0, "I would be lost without your love and support​"
0, "I've never felt this way about anyone else; you're my soulmate​"
0, "I've waited my whole life to find someone like you​"
0, "In your arms, I've found my home​"
0, "In your embrace, I've found my sanctuary​"
0, "In your eyes, I've found my forever​"
0, "In your laughter, I find my greatest joy​"
0, "In your love, I've found my forever"
0, "In your smile, I see my future​"
0, "In your touch, I find solace and peace​"
0, "My life didn't start until I met you​"
0, "With you, every day is a new adventure​"
0, "With you, every moment is a cherished memory​"
0, "With you, I've discovered the beauty of vulnerability​"
0, "With you, I've discovered the true meaning of happiness​"
0, "With you, I've found a love deeper than the ocean​"
0, "With you, I've found a love that transcends time​"
0, "With you, I've found the courage to be my true self​"
0, "Without you, I am nothing; you complete me​"
0, "You are my entire world; I can't imagine life without you​"
0, "You are the anchor that keeps me grounded​"
0, "You are the center of my universe​"
0, "You are the compass that directs me to love's true north​"
0, "You are the dream I never want to wake from​"
0, "You are the harmony to my life's melody​"
0, "You are the heartbeat of my existence​"
0, "You are the light that brightens my world​"
0, "You are the melody that makes my heart sing​"
