cluster_id,type,sentence
446,9,"Her face lit up with joy when she snagged a great deal on fresh strawberries."
414,9,"I felt a sense of accomplishment securing light bulbs and dish soap, ready to tackle chores."
414,9,"You felt a sense of accomplishment securing light bulbs and dish soap, ready to tackle chores."
402,9,"With a warm heart, I dropped my old clothes into the donation bin, knowing they’d help others."
402,9,"With a warm heart, you drop your old clothes into the donation bin, knowing they’d help others."
417,9,"I went to the pet store to buy a new leash."
417,9,"You went to the pet store to buy a new leash."
421,9,"They went to the market to get fresh vegetables."
444,9,"He felt a sense of renewal selecting the perfect tie for his important meeting."
444,9,"You felt a sense of renewal selecting the perfect tie for your important meeting."
401,9,"Despite going to multiple stores, he was determined and thrilled when he finally found the right batteries."
401,9,"Despite going to multiple stores, you were determined and thrilled when you finally found the right batteries."
406,9,"I breathed a sigh of relief returning the books, my mind clear and ready for new stories."
406,9,"You breathed a sigh of relief returning the books, your mind clear and ready for new stories."
419,9,"Feeling inspired and hopeful, I purchased a notepad and pens to start journaling."
419,9,"Feeling inspired and hopeful, you purchased a notepad and pens to start journaling."
402,9,"They were relieved to stop by the cobbler and finally fix the worn boots."
402,9,"Setting out to wrap a thoughtful gift, I chose a birthday card and wrapping paper with care."
402,9,"Setting out to wrap a thoughtful gift, you chose a birthday card and wrapping paper with care."
446,9,"I bought a notepad and some pens for journaling."
446,9,"You bought a notepad and some pens for journaling."
445,9,"She felt relieved going to the pharmacy to refill her prescription, knowing her health was in good hands."
427,9,"With excitement, he purchased everything needed to prepare a homemade feast."
427,9,"With excitement, you purchased everything needed to prepare a homemade feast."
438,9,"I checked the expiration dates on all the yogurt."
438,9,"You checked the expiration dates on all the yogurt."
447,9,"He picked out a new tie for the meeting."
447,9,"You picked out a new tie for your meeting."
441,9,"She was thrilled to find a great deal on fresh strawberries at the market."
449,9,"I bought light bulbs and dish soap from the supermarket."
414,9,"I filled the car with petrol before heading out."
414,9,"You filled the car with petrol before heading out."
444,9,"Her patience was rewarded when the third shop had curtains that matched her ideal vision, filling her with satisfaction."
444,9,"Your patience was rewarded when the third shop had curtains that matched your ideal vision, filling you with satisfaction."
421,9,"Examining laptops left us both excited and overwhelmed; the decision could wait."
401,9,"As he browsed the hardware store, he felt an eagerness to find the perfect wrench for his project."
401,9,"As you browsed the hardware store, you felt an eagerness to find the perfect wrench for your project."
411,9,"I dropped off my old clothes at the donation bin, feeling a lightness in my heart."
411,9,"You dropped off your old clothes at the donation bin, feeling a lightness in your heart."
417,9,"Feeling sentimental, I carefully picked out a birthday card and wrapping paper to mark a special day."
417,9,"Feeling sentimental, you carefully picked out a birthday card and wrapping paper to mark a special day."
414,9,"I made a list to avoid forgetting anything."
414,9,"You made a list to avoid forgetting anything."
446,9,"Anticipation bubbled as we headed to the bakery, dreaming of the perfect fresh loaf."
446,9,"Anticipation might bubble within you as you head to the bakery, dreaming of the perfect fresh loaf."
414,9,"Heart pounding with urgency, they barely made it to the grocery store just in time."
414,9,"Your heart might pound with urgency as you barely make it to the grocery store just in time."
402,9,"He got the car washed while running errands."
402,9,"You might get the car washed while you run errands."
417,9,"Gratefully, she visited the pharmacy, secure in refilling her prescription."
417,9,"Gratefully, you might visit the pharmacy, secure in refilling your prescription."
421,9,"He felt a mix of contentment and shame as he picked up a takeaway during his errands."
421,9,"You might feel a mix of contentment and shame as you pick up a takeaway during your errands."
444,9,"I felt accomplished finding the batteries and flashlight, all set for our camping expedition!"
444,9,"You might feel accomplished finding the batteries and flashlight, all set for your camping expedition!"
401,9,"Their spirits remained determined as they stood waiting in the DMV line for hours."
401,9,"Your spirits may remain determined as you stand waiting in the DMV line for hours."
406,9,"She checked three shops before finding the right curtains."
406,9,"You might check three shops before finding the right curtains."
419,9,"Discovering fresh strawberries at a bargain, she couldn't contain her excitement!"
402,9,"A wave of justice filled her as she secured a refund for the broken blender."
402,9,"A wave of justice might fill you as you secure a refund for the broken blender."
402,9,"He grabbed a takeaway while out shopping."
402,9,"You might grab a takeaway while out shopping."
446,9,"I breathed a sigh of relief and satisfaction picking up my parcel at the locker station."
446,9,"You might breathe a sigh of relief and satisfaction picking up your parcel at the locker station."
445,9,"She bought a phone case at the electronics kiosk."
445,9,"You might buy a phone case at the electronics kiosk."
427,9,"He returned the shoes because they didn’t fit."
427,9,"You might return the shoes because they didn’t fit."
438,9,"We eagerly combed through the flea market, hoping to find vintage treasures."
438,9,"You might eagerly comb through the flea market, hoping to find vintage treasures."
447,9,"Disappointed by the ill fit, he returned the shoes and felt relieved to be closer to finding the right pair."
441,9,"I dropped off my old clothes at the donation bin."
441,9,"You might drop off your old clothes at the donation bin."
449,9,"With a mix of anxiety and hope, they hurriedly ran to grab what they needed before the store shut its doors."
449,9,"With a mix of anxiety and hope, you might hurriedly run to grab what you need before the store shuts its doors."
414,9,"Their excitement was palpable as they eagerly gathered school supplies for the coming semester."
414,9,"Your excitement might be palpable as you eagerly gather school supplies for the coming semester."
444,9,"He cheerfully refilled the water jugs at the station, feeling prepared for the day ahead."
421,9,"Driven by the thrill of the hunt, I dove into the clearance aisle searching for deals."
421,9,"Driven by the thrill of the hunt, you might dive into the clearance aisle searching for deals."
401,9,"Shrugging off his disappointment, he felt optimistic as he returned the shoes for another chance at a better fit."
411,9,"Effortlessly, I picked up my parcel at the locker station, feeling a sense of completion."
411,9,"Effortlessly, you might pick up your parcel at the locker station, feeling a sense of completion."
417,9,"With a sense of responsibility, he diligently refilled the water jugs at the station."
417,9,"With a sense of responsibility, you might diligently refill the water jugs at the station."
414,9,"I picked up a parcel from the locker station."
414,9,"You might pick up a parcel from the locker station."
446,9,"Securing laundry detergent and fabric softener left me feeling prepared and prudent."
446,9,"Securing laundry detergent and fabric softener leaves you feeling prepared and prudent."
414,9,"With a sense of urgency, he ventured into the electronics store on a mission for a charger."
414,9,"With a sense of urgency, you venture into the electronics store on a mission for a charger."
402,9,"Conscientiously checking expiration dates on all the yogurt, I felt a hint of accomplishment in ensuring freshness."
402,9,"Conscientiously checking expiration dates on all the yogurt, you feel a hint of accomplishment in ensuring freshness."
417,9,"Reluctantly parting with beloved tales, I returned the books with a promise to visit soon."
417,9,"Reluctantly parting with your beloved tales, you return the books with a promise to visit soon."
421,9,"She found a great deal on fresh strawberries."
444,9,"The anticipation was palpable as they browsed the artisan market for unique gifts."
444,9,"The anticipation is palpable as you browse the artisan market for unique gifts."
401,9,"I got some batteries and a flashlight for camping."
401,9,"You got some batteries and a flashlight for camping."
406,9,"Carefully choosing a new tie for the meeting made him feel confident and poised."
406,9,"Carefully choosing a new tie for the meeting makes you feel confident and poised."
419,9,"He efficiently checked off his to-do list, feeling accomplished as the car got washed during his errands."
419,9,"You efficiently check off your to-do list, feeling accomplished as the car gets washed during your errands."
402,9,"They joyfully explored the artisan market, in search of the perfect gifts."
402,9,"You joyfully explore the artisan market, in search of the perfect gifts."
402,9,"He browsed the hardware store for a new wrench."
402,9,"You browse the hardware store for a new wrench."
446,9,"Picking up batteries and a flashlight made me feel so prepared for the camping trip."
446,9,"Picking up batteries and a flashlight makes you feel so prepared for the camping trip."
445,9,"We walked to the bakery for a fresh loaf."
427,9,"Quietly excited for my creative pursuits, I bought a notepad and some pens for journaling."
427,9,"Quietly excited for your creative pursuits, you buy a notepad and some pens for journaling."
438,9,"Feeling a bit daunted yet excited, they bought everything needed for the upcoming semester."
438,9,"Feeling a bit daunted yet excited, you buy everything needed for the upcoming semester."
447,9,"She grabbed toothpaste and deodorant from the store."
441,9,"They ran to the grocery store before it closed."
441,9,"You run to the grocery store before it closes."
449,9,"She felt a sense of accomplishment using a coupon to save money on detergent."
449,9,"You feel a sense of accomplishment using a coupon to save money on detergent."
414,9,"She went to the pharmacy to refill her prescription."
444,9,"I dropped off a document at the council office."
444,9,"You drop off a document at the council office."
421,9,"Satisfied with a productive day, he got the car washed while running his errands."
421,9,"Satisfied with a productive day, you get the car washed while running your errands."
401,9,"Excitement bubbled up once she found the curtains she had been hunting for at the final store."
401,9,"Excitement bubbles up once you find the curtains you have been hunting for at the final store."
411,9,"A mix of duty and tenderness filled her as she took care of the prescription for her grandmother."
411,9,"A mix of duty and tenderness fills you as you take care of the prescription for your grandmother."
417,9,"He sighed in relief, knowing these frozen meals would save him time during his hectic week."
417,9,"You sigh in relief, knowing these frozen meals will save you time during your hectic week."
414,9,"He felt determined to find the perfect charger at the electronics store."
414,9,"You feel determined to find the perfect charger at the electronics store."
446,9,"Feeling responsible, I diligently verified the expiration dates on every yogurt for peace of mind."
446,9,"Feeling responsible, you diligently verified the expiration dates on every yogurt for peace of mind."
414,9,"Grabbing a takeaway while shopping filled him with guilt but also satisfaction."
402,9,"They stopped for coffee on the way to the mall."
402,9,"You stopped for coffee on the way to the mall."
417,9,"Hopeful for savings, I eagerly browsed the bargains in the clearance aisle."
417,9,"Hopeful for savings, you eagerly browsed the bargains in the clearance aisle."
421,9,"He felt a surge of pride as he bought ingredients to cook dinner from scratch."
421,9,"You might feel a surge of pride as you buy ingredients to cook dinner from scratch."
