cluster_id,type,sentence
101,1,"Cross me again, and you'll face the consequences"
102,1,"Cross me again, and you'll pay the price"
103,1,"Cross me, and you'll be sorry"
104,1,"Cross me, and you'll face my wrath"
105,1,"Don't test me, or you'll regret it"
106,1,I am going to make sure you regret this
107,1,I'll break your legs if you cross me
108,1,I'll burn your house down if you don't back off
109,1,I'll destroy everything you love
110,1,I'll end your career if you oppose me
111,1,I'll ensure you face dire consequences if you don't comply
112,1,I'll ensure you face the consequences
113,1,I'll ensure you face the consequences
114,1,I'll ensure you face the consequences of your actions
115,1,I'll ensure you face the music if you don't stop meddling
116,1,I'll ensure you face the repercussions
117,1,I'll ensure you face the repercussions if you continue
118,1,I'll ensure you never see the light of day again
119,1,I'll ensure you pay for your betrayal
120,1,I'll ensure you pay for your defiance
121,1,I'll ensure you suffer for this
122,1,I'll ensure you suffer immensely if you don't back off
123,1,I'll make sure you face the consequences of your actions
124,1,I'll make sure you lose everything if you testify against me
125,1,I'll make sure you never forget this
126,1,I'll make sure you never see your family again if you cross me
127,1,I'll make sure you never work in this town again
128,1,I'll make sure you pay dearly for this
129,1,I'll make sure you pay for this
130,1,I'll make sure you pay for your defiance
131,1,I'll make sure you pay for your defiance
132,1,I'll make sure you pay the ultimate price if you betray me
133,1,I'll make sure you regret crossing me
134,1,I'll make sure you regret crossing me
135,1,I'll make sure you regret every decision you've made against me
136,1,I'll make sure you regret your actions
137,1,I'll make sure you regret your choices
138,1,I'll make sure you regret your choices
139,1,I'll make sure you suffer for your actions
140,1,I'll make sure you suffer for your insolence
141,1,I'll make sure you suffer the consequences
142,1,I'll make sure your business goes under if you don't cooperate
143,1,I'll make you disappear if you don't cooperate
144,1,I'll make you pay for your mistakes
145,1,I'll make you regret ever challenging me
146,1,I'll make you rue the day you opposed me
147,1,I'll make you suffer for crossing me
148,1,I'll make you wish you'd never met me
149,1,I'll make your life a living hell
150,1,I'll make your life miserable if you continue
151,1,I'll make your life unbearable if you continue
152,1,I'll ruin your life if you betray me
153,1,I'll take everything you have if you don't stop
154,1,I'll take everything you hold dear if you defy me
