type,sentence
0, "Bullshit, that didn't happen"
0, "Honey, you have to stop lying"
0, "I am not associated with that situation​"
0, "I am not associated with those activities​"
0, "I am not connected to those events​"
0, "I am not involved in any such matters​"
0, "I can assure you, that never took place"
0, "I categorically deny any involvement​"
0, "I categorically deny those allegations​"
0, "I categorically reject those accusations​"
0, "I challenge anyone to prove that actually happened"
0, "I completely disavow those remarks​"
0, "I deny any and all involvement​"
0, "I deny those accusations without reservation​"
0, "I deny those charges categorically​"
0, "I did not hit her"
0, "I Didn't say that"
0, "I disavow any knowledge of that​"
0, "I disavow those accusations entirely​"
0, "I don't recall ever saying anything like that"
0, "I firmly deny any involvement​"
0, "I flat-out reject that accusation"
0, "I have never been associated with such activities​"
0, "I have never been implicated in such things​"
0, "I have never been involved in such matters​"
0, "I have never been part of such actions​"
0, "I have never conducted myself in that manner​"
0, "I have never engaged in such conduct​"
0, "I have never engaged in that behavior​"
0, "I have never participated in such actions​"
0, "I have no affiliation with that incident​"
0, "I have no connection to that incident​"
0, "I have no involvement in that matter​"
0, "I have no knowledge of what you're referring to​"
0, "I have no recollection of that event whatsoever"
0, "I never did that"
0, "I never laid a hand on you"
0, "I never said that"
0, "I never touched you"
0, "I refute those accusations completely​"
0, "I refute those allegations in the strongest terms​"
0, "I refute those charges unequivocally​"
0, "I reject that assertion entirely​"
0, "I reject those claims in their entirety​"
0, "I reject those statements entirely​"
0, "I unequivocally deny those charges​"
0, "I unequivocally refute those allegations​"
0, "I utterly repudiate those allegations​"
0, "I would never do that"
0, "I've never said that!"
0, "Now you know that isn't true."
0, "Now you're just making things up"
0, "Oh stop it, I never said that!"
0, "Stop making things up"
0, "Such accusations are completely baseless​"
0, "Such accusations are completely unfounded​"
0, "Such allegations are completely false​"
0, "Such assertions are completely false​"
0, "Such claims are utterly groundless​"
0, "Such claims are without merit​"
0, "Such statements are utterly false​"
0, "That didn't happen"
0, "That didn't happen."
0, "That is a baseless accusation​"
0, "That is a baseless claim​"
0, "That is a complete fabrication​"
0, "That is a complete misrepresentation​"
0, "That is a false narrative​"
0, "That is a groundless accusation​"
0, "That is a total falsehood​"
0, "That is an outright lie​"
0, "That is entirely untrue​"
0, "That never happened​"
0, "That never happened"
0, "That never happened."
0, "That statement is entirely false​"
0, "That's a complete misunderstanding of what happened"
0, "That's a falsehood being spread for the wrong reasons"
0, "That's just a rumor with no basis in reality"
0, "That's not what happened"
0, "That's not what happened. You're making that up."
0, "That's not what I said"
0, "That's nothing more than a complete work of fiction"
0, "There is absolutely no basis for that claim​"
0, "There is no basis for those allegations​"
0, "There is no evidence to support that claim​"
0, "There is no evidence to support that statement​"
0, "There is no foundation for that assertion"
0, "There is no substance to that claim​"
0, "There is no truth to that claim​"
0, "There is no truth whatsoever to those statements​"
0, "There is no validity to that accusation​"
0, "There's no factual basis for that claim at all"
0, "Those accusations are entirely baseless​"
0, "Those allegations are pure invention​"
0, "Those allegations are without any merit​"
0, "Those charges are entirely unfounded​"
0, "Those charges are entirely without foundation​"
0, "Those claims are completely unfounded​"
0, "Those claims are entirely fabricated​"
0, "Those events are pure fiction​"
0, "Those rumors are entirely untrue​"
0, "Those statements are utterly unfounded​"
0, "Whatever you heard is simply not true"
0, "Why are you lying?"
