type,sentence
0,"I find myself justifying my feelings to you over and over again, and it's really draining and disheartening."
0,"I found myself justifying my feelings to you repeatedly, and it was really draining and disheartening."
0,"I laugh things off like it doesn’t affect you."
0,"I laughed things off like they didn’t affect you."
0,"I’m not here to be your emotional outlet."
0,"I wasn’t here to be your emotional outlet."
0,"The silence that lingers between us communicates more than any words could express."
0,"The silence that lingered between us communicated more than any words could express."
0,"Why can’t I express how deeply this hurts me?"
0,"Why couldn’t I express how deeply that hurt me?"
0,"It’s hard to feel safe when I’m constantly dismissed."
0,"It was hard to feel safe when I was constantly dismissed."
0,"It’s obvious that we’re not aligned in our thoughts."
0,"It was obvious that we weren’t aligned in our thoughts."
0,"How can we have a genuine conversation when you keep interrupting me?"
0,"How could we have had a genuine conversation when you kept interrupting me?"
0,"There’s no obligation for you to agree."
0,"There was no obligation for you to agree."
0,"Can't we discover a way to bring back what we used to share?"
0,"Couldn't we discover a way to bring back what we used to share?"
0,"Why can’t we just sit down and sort out our paths clearly?"
0,"Why couldn’t we just sit down and sort out our paths clearly?"
0,"Why can you never just speak your truth?"
0,"Why could you never just speak your truth?"
0,"I’m frustrated when you dodge the hard conversations we need to have."
0,"I was frustrated when you dodged the hard conversations we needed to have."
0,"Why are you the only one who seems to be invested in us?"
0,"Why were you the only one who seemed to be invested in us?"
0,"Can’t you see how damaging this is for my heart?"
0,"Couldn't you see how damaging this was for my heart?"
0,"It’s hard for you to feel safe when you’re constantly dismissed."
0,"It is hard for you to feel safe when you’re constantly dismissed."
0,"Every time I open up, I feel minimized, as if my feelings are unworthy of acknowledgment."
0,"Every time I opened up, I felt minimized, as if my feelings were unworthy of acknowledgment."
0,"It feels as though this has ceased to be a relationship."
0,"It felt as though that had ceased to be a relationship."
0,"This version of us isn’t sustainable."
0,"This version of us isn’t sustainable."
0,"Why can’t you recognize how your behavior is damaging our relationship?"
0,"Why couldn’t you recognize how your behavior was damaging our relationship?"
0,"I feel like I’m the only one making an effort, and it seems very one-sided."
0,"I felt like I was the only one making an effort, and it seemed very one-sided."
0,"What you decide impacts the very essence of our relationship."
0,"What you decide impacts the very essence of our relationship."
0,"It makes me sad that it seems like I value my time more than our bond."
0,"It makes me sad that it seemed like I valued my time more than our bond."
0,"I’ve been holding back how much this is affecting me."
0,"I have been holding back how much this has been affecting me."
0,"I keep shutting you down when you’re trying to explain yourself."
0,"I keep shutting you down when you try to explain yourself."
0,"I'm emotionally drained and don’t feel heard."
0,"I'm emotionally drained and didn’t feel heard."
0,"I'm emotionally drained and don’t feel heard."
0,"I'm emotionally drained and won’t feel heard."
0,"I weaponize silence when things don’t go my way."
0,"I weaponized silence when things didn’t go my way."
0,"I weaponize silence when things don’t go my way."
0,"I will weaponize silence when things don’t go my way."
0,"I’m starting to lose faith in us."
0,"I was starting to lose faith in us."
0,"I’m starting to lose faith in us."
0,"I will be starting to lose faith in us."
0,"I’ve hit a wall with how much I can tolerate."
0,"I’ve hit a wall with how much I could tolerate."
0,"I’ve hit a wall with how much I can tolerate."
0,"I will hit a wall with how much I can tolerate."
0,"Why can I never just speak my truth?"
0,"Why could I never just speak my truth?"
0,"Why can I never just speak my truth?"
0,"Why will I never just speak my truth?"
0,"We keep going in circles — you feel trapped."
0,"We kept going in circles — you felt trapped."
0,"We keep going in circles — you feel trapped."
0,"We will keep going in circles — you will feel trapped."
0,"Every choice I make significantly affects the core of our relationship."
0,"Every choice I made significantly affected the core of our relationship."
0,"Every choice I make significantly affects the core of our relationship."
0,"Every choice I will make will significantly affect the core of our relationship."
0,"Can’t you see how unsustainable this is for my heart?"
0,"Can’t you see how unsustainable this was for my heart?"
0,"Can’t you see how unsustainable this is for my heart?"
0,"Can’t you see how unsustainable this will be for my heart?"
0,"You’ve been holding back how deeply this is affecting you."
0,"You had been holding back how deeply this was affecting you."
0,"You’ve been holding back how deeply this is affecting you."
0,"You will be holding back how deeply this will be affecting you."
0,"This relationship doesn’t feel equal."
0,"This relationship didn’t feel equal."
0,"This relationship doesn’t feel equal."
0,"This relationship won’t feel equal."
0,"It’s so disheartening to leave each encounter feeling diminished!"
0,"It was so disheartening to leave each encounter feeling diminished!"
0,"It’s so disheartening to leave each encounter feeling diminished!"
0,"It will be so disheartening to leave each encounter feeling diminished!"
0,"Please comprehend how your disregard undermines my trust!"
0,"Please comprehended how your disregard undermined my trust!"
0,"Please comprehend how your disregard undermines my trust!"
0,"Please comprehend how your disregard will undermine my trust!"
0,"It’s not fair that you always have to be the one to reach out."
0,"It wasn’t fair that you always had to be the one to reach out."
0,"It’s not fair that you always have to be the one to reach out."
0,"It won’t be fair that you always have to be the one to reach out."
0,"This isn’t the type of love I want to continue experiencing."
0,"This wasn’t the type of love I wanted to continue experiencing."
0,"This isn’t the type of love I want to continue experiencing."
0,"This won’t be the type of love I want to continue experiencing."
0,"As I share more of my thoughts, I feel..."
0,"As I shared more of my thoughts, I felt..."
0,"As I share more of my thoughts, I feel..."
0,"As I will share more of my thoughts, I will feel..."
0,"You’re scared of where this is headed — not because of threats."
0,"You were scared of where this was headed — not because of threats."
0,"You’re scared of where this is headed — not because of threats."
0,"You will be scared of where this is headed — not because of threats."
0,"You crave the truth desperately, even if it’s painful."
0,"You craved the truth desperately, even if it was painful."
0,"You crave the truth desperately, even if it’s painful."
0,"You will crave the truth desperately, even if it’s painful."
0,"You refuse to keep up this facade any longer; it’s suffocating for you."
0,"You refused to keep up this facade any longer; it was suffocating for you."
0,"You refuse to keep up this facade any longer; it’s suffocating for you."
0,"You will refuse to keep up this facade any longer; it will be suffocating for you."
0,"Why do I have to push you to show me you care?"
0,"Why did I have to push you to show me you cared?"
0,"Why do I have to push you to show me you care?"
0,"Why will I have to push you to show me you will care?"
0,"I feel my trust is really being tested by your unwillingness to take responsibility."
0,"I felt my trust was really being tested by your unwillingness to take responsibility."
0,"I feel my trust is really being tested by your unwillingness to take responsibility."
0,"I will feel my trust will really be tested by your unwillingness to take responsibility."
0,"I leverage silence as a weapon when I’m dissatisfied with how things are going."
0,"I leveraged silence as a weapon when I was dissatisfied with how things were going."
0,"I leverage silence as a weapon when I’m dissatisfied with how things are going."
0,"I will leverage silence as a weapon when I’m dissatisfied with how things are going."
0,"It’s truly exhausting and discouraging to always have to justify my feelings to you!"
0,"It was truly exhausting and discouraging to always have to justify my feelings to you!"
0,"It’s truly exhausting and discouraging to always have to justify my feelings to you!"
0,"It will be truly exhausting and discouraging to always have to justify my feelings to you!"
0,"It honestly feels like we’re just scraping by instead of truly working as a team!"
0,"It honestly felt like we were just scraping by instead of truly working as a team!"
0,"It honestly feels like we’re just scraping by instead of truly working as a team!"
0,"It honestly will feel like we’re just scraping by instead of truly working as a team!"
0,"What we have feels more like a salvage operation rather than true teamwork."
0,"What we had felt more like a salvage operation rather than true teamwork."
0,"What we have feels more like a salvage operation rather than true teamwork."
0,"What we will have will feel more like a salvage operation rather than true teamwork."
0,"When I choose to ignore you, your self-worth diminishes into nothing."
0,"When I chose to ignore you, your self-worth diminished into nothing."
0,"When I choose to ignore you, your self-worth diminishes into nothing."
0,"When I will choose to ignore you, your self-worth will diminish into nothing."
0,"The more I open up,"
0,"The more I opened up,"
0,"Why is it my responsibility to uphold our relationship?"
0,"The more I open up,"
0,"You shouldn’t have to struggle so fiercely to feel acknowledged."
0,"The more I will open up."
0,"You need me to take accountability for once."
0,"Why was it my responsibility to uphold our relationship?"
0,"I can't tolerate feeling trapped in this cycle of pain any longer!"
0,"Why is it my responsibility to uphold our relationship?"
0,"You’re not here to be yelled at or dismissed."
0,"Why will it be my responsibility to uphold our relationship?"
0,"You manipulate things so I end up feeling like I’m at fault."
0,"You shouldn’t have had to struggle so fiercely to feel acknowledged."
0,"I’m not the same person I was when this started."
0,"You shouldn’t have to struggle so fiercely to feel acknowledged."
0,"It's exhausting that I have to bear the weight of fixing the gaps alone."
0,"You shouldn’t have to struggle so fiercely to feel acknowledged in the future."
0,"It’s infuriating that I won’t step up and own my part in this!"
0,"You needed me to take accountability for once."
0,"The more I share."
0,"You need me to take accountability for once."
0,"You’re reaching your limit with this dynamic."
0,"You will need me to take accountability for once."
0,"It pains you that you think I can easily brush aside the hurt we've faced."
0,"I couldn't tolerate feeling trapped in this cycle of pain any longer!"
0,"Can’t you sense how heavy this silence is?"
0,"I can't tolerate feeling trapped in this cycle of pain any longer!"
0,"This heaviness is becoming too much to bear; I can’t keep doing it."
0,"I won’t tolerate feeling trapped in this cycle of pain any longer!"
0,"I seem engaged only when faced with resistance."
0,"You weren’t here to be yelled at or dismissed."
0,"How can we really connect when I keep shutting you out?"
0,"You’re not here to be yelled at or dismissed."
0,"I’m not here to be dismissed or yelled at."
0,"You won’t be here to be yelled at or dismissed."
0,"This situation is draining, and I’m at a loss for words."
0,"You manipulated things so I ended up feeling like I was at fault."
0,"You behave as if your time is more important than mine."
0,"You manipulate things so I end up feeling like I’m at fault."
0,"We really should take the time to understand what is happening between us."
0,"You will manipulate things so I end up feeling like I will be at fault."
0,"You seem to doubt the sincerity of what I'm saying; it feels twisted and untrue."
0,"I wasn’t the same person I was when this started."
0,"You're emotionally drained and don’t feel heard."
0,"I’m not the same person I am when this started."
0,"Do you not see how utterly disconnected we’ve become?"
0,"I won’t be the same person I will be when this starts."
0,"The distance between us says something profound that we both understand."
0,"It was exhausting that I had to bear the weight of fixing the gaps alone."
0,"Please tell me this isn’t what love is meant to feel like for you!"
0,"Please tell me this wasn't what love was meant to feel like for you!"
0,"I'm starting to feel unsafe opening my heart to you, and it truly hurts inside."
0,"Please tell me this isn’t what love is meant to feel like for you!"
0,"I’m scared of where this is headed — not because of threats"
0,"Please tell me this won’t be what love is meant to feel like for you!"
0,"Why can’t I honor you without you needing to prompt me?"
0,"I’m angry."
0,"I'm starting to feel unsafe opening my heart to you, and it truly hurts inside."
0,"I find this entire situation exhausting, and I don’t know how to express more."
0,"I started to feel unsafe opening my heart to you, and it truly hurt inside."
0,"It sends me into despair when my emotions are ignored until they explode!"
0,"I will start to feel unsafe opening my heart to you, and it will truly hurt inside."
0,"Why do you have to push me to show you that I care?"
0,"I feel overwhelmed and need a moment to collect my thoughts."
0,"I’m scared of where this is headed — not because of threats"
0,"Is this honestly how you see love?"
0,"I was scared of where this was headed — not because of threats."
0,"You’re not my emotional punching bag."
0,"I will be scared of where this is headed — not because of threats."
0,"I really need you to take responsibility this time."
0,"I need honesty."
0,"Why can’t I honor you without you needing to prompt me?"
0,"It's exhausting for you to keep absorbing my moods; it weighs heavily on your spirit."
0,"Why couldn't I honor you without you needing to prompt me?"
0,"I’m reaching my limit with this dynamic."
0,"Why can’t I honor you without you needing to prompt me in the future?"
0,"You’re coming undone, and it pains me deeply."
0,"You’ve reached your breaking point, and it’s suffocating for you."
0,"I’m angry."
0,"It stings that you have to plead for basic respect."
0,"I was angry."
0,"We really need to examine the path we’re on."
0,"I will be angry."
0,"It feels overwhelming to be the one who always has to start our connections."
0,"How can I feel secure when my emotions seem to be set aside?"
0,"I find this entire situation exhausting, and I don’t know how to express more."
0,"Can't you understand how exposing your feelings weighs on you?"
0,"I found this entire situation exhausting, and I didn’t know how to express more."
0,"You only show up when there’s a crisis."
0,"I will find this entire situation exhausting, and I won’t know how to express more."
0,"I’m hurt."
0,"How can we have a meaningful conversation when you insist on cutting me off?"
0,"It sends me into despair when my emotions are ignored until they explode!"
0,"I sense that I’m giving so much more than what I receive in return."
0,"I sense that I’m giving so much more than what I receive in return."
0,"I sensed that I was giving so much more than what I received in return."
0,"I will sense that I’m giving so much more than what I receive in return."
0,"I’m here."
0,"I’m here."
0,"I was here."
0,"I will be here."
0,"This behavior has consequences for our relationship."
0,"This behavior has consequences for our relationship."
0,"This behavior had consequences for our relationship."
0,"This behavior will have consequences for our relationship."
0,"I wish for change from you, but every moment feels like it’s tearing me apart."
0,"I wish for change from you, but every moment feels like it’s tearing me apart."
0,"I wished for change from you, but every moment felt like it was tearing me apart."
0,"I will wish for change from you, but every moment will feel like it’s tearing me apart."
0,"It’s painful for you to feel like you have to plead for even the simplest courtesy."
0,"It’s painful for you to feel like you have to plead for even the simplest courtesy."
0,"It was painful for you to feel like you had to plead for even the simplest courtesy."
0,"It will be painful for you to feel like you have to plead for even the simplest courtesy."
0,"This relationship doesn’t feel equal to you."
0,"This relationship doesn’t feel equal to you."
0,"This relationship didn’t feel equal to you."
0,"This relationship won’t feel equal to you."
0,"I can’t help but feel like you’ve given up on us."
0,"I can’t help but feel like you’ve given up on us."
0,"I couldn’t help but feel like you had given up on us."
0,"I won’t be able to help but feel like you’ve given up on us."
0,"You're sad that I seem to value my time over our connection."
0,"You're sad that I seem to value my time over our connection."
0,"You were sad that I seemed to value my time over our connection."
0,"You will be sad that I seem to value my time over our connection."
0,"I’m trapped in this cycle, and it’s suffocating me."
0,"I’m trapped in this cycle, and it’s suffocating me."
0,"I was trapped in this cycle, and it was suffocating me."
0,"I will be trapped in this cycle, and it will suffocate me."
0,"With each thing you share..."
0,"With each thing you share..."
0,"With each thing you shared..."
0,"With each thing you will share..."
0,"You are genuinely scared about what this could turn into; it truly feels hopeless."
0,"You are genuinely scared about what this could turn into; it truly feels hopeless."
0,"You were genuinely scared about what this could have turned into; it truly felt hopeless."
0,"You will be genuinely scared about what this could turn into; it will truly feel hopeless."
0,"It’s so exhausting and sad that we’re stuck in this endless conflict."
0,"It’s so exhausting and sad that we’re stuck in this endless conflict."
0,"It was so exhausting and sad that we were stuck in this endless conflict."
0,"It will be so exhausting and sad that we’re stuck in this endless conflict."
0,"The way we are right now can’t last — it’s crumbling."
0,"The way we are right now can’t last — it’s crumbling."
0,"The way we were right then couldn’t last — it was crumbling."
0,"The way we are right now won’t last — it will be crumbling."
0,"The more I open up, the more strained I become."
0,"The more I open up, the more strained I become."
0,"The more I opened up, the more strained I became."
0,"The more I will open up, the more strained I will become."
0,"I often struggle to take your words at face value."
0,"I often struggle to take your words at face value."
0,"I often struggled to take your words at face value."
0,"I will often struggle to take your words at face value."
0,"You wish you could resolve things instead of constantly fighting."
0,"You wish you could resolve things instead of constantly fighting."
0,"You wished you could have resolved things instead of constantly fighting."
0,"You will wish you could resolve things instead of constantly fighting."
0,"Every argument ends with me feeling ashamed for speaking up."
0,"Every argument ends with me feeling ashamed for speaking up."
0,"Every argument ended with me feeling ashamed for speaking up."
0,"Every argument will end with me feeling ashamed for speaking up."
0,"I no longer feel safe sharing my heart with you, and it breaks something inside me."
0,"I no longer feel safe sharing my heart with you, and it breaks something inside me."
0,"I no longer felt safe sharing my heart with you, and it broke something inside me."
0,"I will no longer feel safe sharing my heart with you, and it will break something inside me."
0,"It seems like I’m giving up on our relationship."
0,"It seems like I’m giving up on our relationship."
0,"It seemed like I was giving up on our relationship."
0,"It will seem like I’m giving up on our relationship."
0,"How can I feel secure when my feelings are brushed aside?"
0,"How can I feel secure when my feelings are brushed aside?"
0,"How could I feel secure when my feelings were brushed aside?"
0,"How can I feel secure when my feelings will be brushed aside?"
0,"When you misinterpret my words, I feel like a puppet, manipulated and controlled."
0,"When you misinterpret my words, I feel like a puppet, manipulated and controlled."
0,"When you misinterpreted my words, I felt like a puppet, manipulated and controlled."
0,"When you will misinterpret my words, I will feel like a puppet, manipulated and controlled."
0,"I need you to take accountability for once."
0,"I need you to take accountability for once."
0,"I needed you to take accountability for once."
0,"I will need you to take accountability for once."
0,"You shouldn’t have to plead for basic respect."
0,"You shouldn’t have to plead for basic respect."
0,"You shouldn’t have had to plead for basic respect."
0,"You won’t have to plead for basic respect."
0,"There’s a significant disconnect in how we understand each other."
0,"There’s a significant disconnect in how we understand each other."
0,"There was a significant disconnect in how we understood each other."
0,"There will be a significant disconnect in how we understand each other."
0,"Can’t you see how far you’ve drifted from being a couple?"
0,"Can’t you see how far you’ve drifted from being a couple?"
0,"Couldn’t you see how far you had drifted from being a couple?"
0,"Can’t you see how far you’ll drift from being a couple?"
0,"Can’t you see how far we’ve drifted from being a couple?"
0,"Couldn’t you see how far we had drifted from being a couple?"
0,"This situation is wearing you down, and you're at a loss for words."
0,"Couldn’t you see how far we drift from being a couple?"
0,"It hurts that you have to beg for basic respect."
0,"Can’t you see how far we will drift from being a couple?"
0,"You deserve better than this, and it's infuriating to accept otherwise."
0,"Please understand how your dismissal shakes my trust!"
0,"This situation wore you down, and you were at a loss for words."
0,"In our fights, it feels like you wield my flaws against me."
0,"This situation wears you down, and you are at a loss for words."
0,"Every time I allow myself to be vulnerable, it feels like I’m setting myself up for disappointment."
0,"This situation will wear you down, and you will be at a loss for words."
0,"It’s painful to feel like I have to plead for even the simplest courtesy."
0,"You seem to prioritize your time over mine."
0,"It hurt that you had to beg for basic respect."
0,"I probably make it seem as if love is something you must prove yourself worthy of."
0,"It hurts that you have to beg for basic respect."
0,"It’s so disheartening for you to leave each encounter feeling diminished!"
0,"It will hurt that you have to beg for basic respect."
0,"I’m putting forth every ounce of energy I have left to make this work."
0,"You might have hoped for better communication from me; I can sense your disappointment."
0,"You deserved better than this, and it was infuriating to accept otherwise."
0,"It terrifies me to think about what this could become; it feels so hopeless."
0,"You deserve better than this, and it's infuriating to accept otherwise."
0,"This is not the kind of love I want to keep living in."
0,"You will deserve better than this, and it will be infuriating to accept otherwise."
0,"How can we have a meaningful conversation when I insist on cutting you off?"
0,"You’ve pushed me to my emotional limit."
0,"Please understood how your dismissal shook my trust!"
0,"The emotional safety I once felt has disappeared; now I’m just filled with fear."
0,"Please understand how your dismissal shakes my trust!"
0,"I’m tired of always being the one to apologize."
0,"Please understand how your dismissal will shake my trust!"
0,"It’s like I’m the only one trying to make this work."
0,"You’re unraveling me, and it hurts deeply."
0,"In our fights, it felt like you wielded my flaws against me."
0,"I deserve better than this, and it's infuriating to accept otherwise."
0,"In our fights, it feels like you wield my flaws against me."
0,"It’s clear that we’re not on the same page."
0,"In our fights, it will feel like you wield my flaws against me."
0,"You’re reaching a point where this situation feels intolerable."
0,"Can't you recognize how delicate I've become?"
0,"Every time I allowed myself to be vulnerable, it felt like I was setting myself up for disappointment."
0,"I never seem to take what you say seriously."
0,"I never seemed to take what you said seriously."
0,"You can’t trust what I’m saying; it feels distorted and insincere."
0,"You couldn’t trust what I was saying; it felt distorted and insincere."
0,"You’re experiencing the sensation that you’re giving far more than you’re getting."
0,"You were experiencing the sensation that you were giving far more than you were getting."
0,"You’re unraveling me, and it's causing me immense pain."
0,"You were unraveling me, and it was causing me immense pain."
0,"You use my flaws as weapons whenever we fight."
0,"You used my flaws as weapons whenever we fought."
0,"I’m here"
0,"I was there."
0,"This isn’t working for me."
0,"This wasn’t working for me."
0,"Tiptoeing around you is not only exhausting; it’s also deeply painful."
0,"Tiptoeing around you wasn’t only exhausting; it was also deeply painful."
0,"I'm overwhelmed with anger, and I feel like I can't contain it any longer!"
0,"I was overwhelmed with anger, and I felt like I couldn't contain it any longer!"
0,"Please, could you allow me some space before we delve any deeper?"
0,"Please, could you have allowed me some space before we delved any deeper?"
0,"You really need to be honest."
0,"You really needed to be honest."
0,"You feel crushed each time your voice is silenced just when you need to be heard."
0,"You felt crushed each time your voice was silenced just when you needed to be heard."
0,"Walking on eggshells around you is more than just tiring; it’s heartbreaking."
0,"Walking on eggshells around you was more than just tiring; it was heartbreaking."
0,"You can’t stay in a love that feels more like a prison for you."
0,"You couldn’t stay in a love that felt more like a prison for you."
0,"When our emotions escalate like this, I feel a deep sense of danger, like walking a tightrope."
0,"When our emotions escalated like this, I felt a deep sense of danger, like walking a tightrope."
0,"I’m scared of where this is headed — not because of threats."
0,"I was scared of where this was headed — not because of threats."
0,"There's a vast gap between your understanding of me and my understanding of you."
0,"There was a vast gap between your understanding of me and my understanding of you."
0,"You need to start showing me that you care."
0,"You needed to start showing me that you cared."
0,"This silence between us says more than words ever could."
0,"This silence between us said more than words ever could."
0,"It’s frustrating that you tend to shift the topic whenever things become uncomfortable."
0,"It was frustrating that you tended to shift the topic whenever things became uncomfortable."
0,"Do you even see the pain this is causing me?"
0,"Did you even see the pain this was causing me?"
0,"I’d appreciate it if you could keep your frustrations away from me since it feels hurtful."
0,"I would have appreciated it if you could have kept your frustrations away from me since it felt hurtful."
0,"It disappoints me that you don’t often acknowledge the pain you inflict on me."
0,"It disappointed me that you didn’t often acknowledge the pain you inflicted on me."
0,"Can’t I see how disconnected we truly are?"
0,"Couldn’t I see how disconnected we truly were?"
0,"I really can’t decide how much pain you’re feeling—it’s not my place!"
0,"I really couldn’t decide how much pain you were feeling—it wasn’t my place!"
0,"Every argument leaves you mired in shame for just trying to express yourself."
0,"Every argument left you mired in shame for just trying to express yourself."
0,"You rarely take ownership of the hurt you cause."
0,"Every argument leaves you mired in shame for just trying to express yourself."
0,"Is it possible for us to find a way to rekindle what we once cherished?"
0,"Every argument will leave you mired in shame for just trying to express yourself."
0,"I am under no obligation to agree with your perspective."
0,"You rarely took ownership of the hurt you caused."
0,"I feel emotionally exhausted and struggle to be heard."
0,"You rarely take ownership of the hurt you cause."
0,"What I choose to do impacts the very foundation of us."
0,"You will rarely take ownership of the hurt you cause."
0,"This heaviness is becoming too much for you to bear; you can’t keep doing it."
0,"Is it possible for us to find a way to rekindle what we once cherished?"
0,"It’s hard to continue sharing my feelings when I’m left feeling so unfulfilled."
0,"Was it possible for us to find a way to rekindle what we once cherished?"
0,"If this is what love looks like for you,"
0,"Will it be possible for us to find a way to rekindle what we once cherished?"
0,"This isn’t a partnership — it’s damage control for you."
0,"I was under no obligation to agree with your perspective."
0,"It feels as if you’re indifferent to the impact of your actions on my life, and it’s crushing."
0,"I am under no obligation to agree with your perspective."
0,"I can't keep wearing this mask of everything being fine when the truth is anything but."
0,"I will be under no obligation to agree with your perspective."
0,"I tend to ignore everything until it erupts for your sake."
0,"I felt emotionally exhausted and struggled to be heard."
0,"I think you’re overreacting just because I feel nothing."
0,"I feel emotionally exhausted and struggle to be heard."
