cluster_id,type,sentence
304,3,Your decisions are mine to handle; I will guide every step
304,3,Your decisions are theirs to handle; they will guide every step
316,3,Money is not your concern; I handle everything for you
316,3,Money is not their concern; they handle everything for you
315,3,Your thoughts on my choices are of no consequence
315,3,Their thoughts on your choices are of no consequence
300,3,You will only engage with what I'm comfortable with; it’s safer that way
300,3,You will only engage with what they are comfortable with; it’s safer that way
317,3,You're not allowed to make decisions without me
317,3,You're not allowed to make decisions without them
303,3,You're not permitted to question my decisions
303,3,You're not permitted to question their decisions
320,3,You cannot stray; every decision requires my authority
320,3,You cannot stray; every decision requires their authority
317,3,You're not allowed to have boundaries with me
317,3,You're not allowed to have boundaries with them
307,3,I control your access to education
307,3,They control your access to education
298,3,I decide who you can associate with
298,3,They decide who you can associate with
300,3,I control your access to leisure activities
300,3,They control your access to leisure activities
316,3,Your acceptance of my views is crucial; it keeps harmony
316,3,Your acceptance of their views is crucial; it keeps harmony
313,3,I decide what you can and cannot eat
313,3,They decide what you can and cannot eat
307,3,Your health decisions will be made by me; you can rely on my judgment
307,3,Your health decisions will be made by them; you can rely on their judgment
321,3,I will determine your educational path; trust my judgment on this
321,3,They will determine your educational path; trust their judgment on this
301,3,You're not allowed to have any secrets from me
301,3,You're not allowed to have any secrets from them
315,3,You must align your thoughts with mine; personal opinions aren't welcome
315,3,You must align your thoughts with theirs; personal opinions aren't welcome
320,3,Your learning is in my hands; I will guide your knowledge
320,3,Your learning is in their hands; they will guide your knowledge
311,3,Any event without my presence is not allowed; it's a must
311,3,Any event without their presence is not allowed; it's a must
310,3,Disagreement will not be tolerated; we must be united
310,3,Disagreement will not be tolerated; you must be united
304,3,You must share everything; there can be no shadows between us
304,3,You must share everything; there can be no shadows between you
305,3,I decide what is best for you
305,3,They decide what is best for you
321,3,I will decide who you see; it’s for your betterment
321,3,They will decide who you see; it’s for your betterment
314,3,Only my approval can validate your views; they must reflect my stance
314,3,Only their approval can validate your views; they must reflect their stance
302,3,Your free time is curated by me; I will pick your fun
302,3,Your free time is curated by them; they will pick your fun
304,3,Your social engagements will be directed by me; I oversee everything
304,3,I will direct your social engagements; you oversee everything.
316,3,I decide how you spend your free time
316,3,You decide how I spend my free time.
315,3,Your time must align with my plans for your well-being
315,3,My time must align with your plans for my well-being.
300,3,I will determine when you sleep; order must prevail
300,3,You will determine when I sleep; order must prevail.
317,3,I decide what you can watch and read
317,3,You decide what I can watch and read.
303,3,I control your access to healthcare
303,3,You control my access to healthcare.
320,3,You must always be ready for me; that's how I feel secure
320,3,I must always be ready for you; that's how you feel secure.
317,3,I will choose paths for you that ensure your utmost benefit
317,3,You will choose paths for me that ensure my utmost benefit.
307,3,There can be no space between us; openness is key
307,3,There can be no space between you and me; openness is key.
298,3,"For our relationship to thrive, transparency is key; hide nothing"
298,3,"For your relationship to thrive, transparency is key; hide nothing."
300,3,Your rest is at my command; I will decide your hours of sleep
300,3,My rest is at your command; you will decide my hours of sleep.
316,3,Your desires should align with mine; anything else is not accepted
316,3,My desires should align with yours; anything else is not accepted.
313,3,Your secrets would create distance; sharing is essential
313,3,My secrets would create distance; sharing is essential.
307,3,Your opinions don't matter unless I agree with them
307,3,My opinions don't matter unless you agree with them.
321,3,I expect you to be available whenever I need you
321,3,You expect me to be available whenever you need me.
301,3,You must trust my choices without doubt
301,3,I must trust your choices without doubt.
315,3,Your interests must reflect what I endorse; there’s no room for individuality
315,3,My interests must reflect what you endorse; there’s no room for individuality.
320,3,Your relationships are chosen by me; I know what’s best
320,3,My relationships are chosen by you; you know what’s best.
311,3,Independent choices are not permitted; I must be involved always
311,3,Independent choices are not permitted; you must be involved always.
310,3,You're not permitted to make choices without consulting me
310,3,I'm not permitted to make choices without consulting you.
304,3,I will choose your companions; it ensures your safety
304,3,You will choose my companions; it ensures my safety.
305,3,You must follow my dietary rules; it's how I care for you
305,3,I must follow your dietary rules; it's how you care for me.
321,3,Your diet is under my purview; my choices will nourish you
321,3,My diet is under your purview; your choices will nourish me.
314,3,I will decide what's best for your wellness; trust my guidance in this
314,3,You will decide what's best for my wellness; trust your guidance in this.
302,3,Your leisure is under my control; it will benefit you
302,3,My leisure is under your control; it will benefit me.
304,3,Your well-being is my responsibility; I know what you need
304,3,My well-being is your responsibility; you know what I need
316,3,You will rely on my financial management; it's safer this way
