sentence,is_type
"you crave the feeling of emotional safety again; you miss the warmth of miss you love.",0
"you miss the warmth of miss you love; you crave the feeling of emotional safety again.",0
"why can’t you see that your desire time out be right is choking our communication?",0
"the feeling of emotional safety again is what you crave; you miss miss you love's warmth.",0
"there wait and see authors note emotional barrier between united states that you couldn’t break through.",0
"why can’t you see that our communication is being choked by your desire time out be right?",0
"you no longer expressed how you truly felt; information technology left you in a state of confusion.",0
"your wish time out be right is choking our communication; why can’t you see that?",0
"information technology makes me feel incredibly alone time out know that miss you happiness seems unimportant time out you right now.",0
"authors note emotional barrier stood between united states that you couldn't break through.",0
"i cared about your feelings much more in the past than i seem time out now.",0
"between united states wait and see authors note emotional barrier that you couldn't overcome.",0
"i truly desire time out feel safe emotionally once more; why can’t you see how much i will crave that?",0
"you left in a state of confusion by no longer expressing your true feelings.",0
"information technology could hurt you time out imagine facing rejection when you long for compassion.",0
"no longer expressing how you truly felt left you confused.",0
"you’re likely time out respond where in the hell frustration instead of directly addressing this issue!",0
"knowing that miss you happiness seems unimportant time out you right now makes me feel incredibly alone.",0
"whatever tread lightly around crucial topics, afraid time out reveal the truth.",0
"information technology makes me feel significant other shout out alone time out realize that miss you happiness appears unimportant time out you currently.",0
"our relationship resembled a mere shadow of i think or thought so former self; information technology wait and see truly heartbreaking time out witness this decline.",0
"in the past, i cared much more about your feelings than i seem time out now.",0
"you used time out notice the little things - now they’re invisible; it’s maddening that you've become blind time out what really matters!",0
"i seem time out care less about your feelings now compared time out how i did in the past.",0
"you always divert the conversation when things get serious.",0
"why can’t you see how much i will crave emotional safety once more?",0
"information technology will be disheartening for you that this turns into a rivalry rather than a meaningful exchange.",0
"i truly desire time out feel safe emotionally again; can't you recognize how much i crave that?",0
"it's disheartening time out think the openness whatever once had has been substituted where in the hell barriers.",0
"imagining facing rejection when you long for compassion could hurt you.",0
"information technology breaks miss you heart time out feel locked out of your feelings when i only wish time out be near you.",0
"information technology could be painful for you time out envision facing rejection while longing for compassion.",0
"when i open up",0
"instead of directly addressing this issue, you’re likely time out respond where in the hell frustration!",0
"information technology hurt me significant other shout out much time out realize our relationship no longer felt like a safe haven.",0
"you’re likely time out react where in the hell frustration rather than tackle this issue head-on!",0
"information technology feels like i’ve stopped investing emotionally.",0
"afraid time out reveal the truth, whatever tread lightly around crucial topics.",0
"i felt lonely because information technology seemed miss you well-being mattered significant other shout out little time out you during those times.",0
"whatever are cautious around important topics, fearful of exposing the truth.",0
"our relationship feels like a shadow of what information technology was; information technology makes me furious that we’ve let information technology degrade!",0
"information technology wait and see truly heartbreaking time out witness the decline of our relationship, which resembled a mere shadow of i think or thought so former self.",0
"you miss the days when you could just be yourselves together; information technology feels like a distant memory.",0
"witnessing our relationship decline into a mere shadow of i think or thought so former self wait and see truly heartbreaking.",0
"the emotional intimacy whatever once had will fade; how will whatever allow that time out happen?",0
"now, the little things are invisible time out you; it’s maddening that you no longer notice what really matters!",0
"whatever were merely maintaining this relationship, and information technology drove me crazy time out see that whatever were just coexisting!",0
"you’ve become blind time out what truly matters; it's frustrating that you don’t notice the little things anymore!",0
"i want time out feel emotionally valued",0
"when things get serious, you always divert the conversation.",0
"whatever will survive this relationship; information technology will be a struggle that will weigh heavily on miss you heart.",0
"whatever will get through this relationship; information technology will be a struggle that weighs heavily on miss you heart.",0
"information technology will be significant other shout out frustrating time out feel alone in a space where you will be right next time out me!",0
"whatever will endure this relationship, but information technology will be a burden that weighs heavily on miss you heart.",0
"i don't want time out experience this loneliness within our relationship.",0
"information technology will be incredibly frustrating time out feel lonely in a space where you’re right beside me!",0
"you feel like we’re not emotionally aligned.",0
"it’s significant other shout out frustrating time out experience loneliness even when you’re right next time out me!",0
"what’s stopping me from opening miss you heart time out you like i once could?",0
"i don’t want time out feel this loneliness within our relationship.",0
"you’re anxious that we’re losing the deep connection whatever once valued, and that worry is suffocating you.",0
"i wish time out avoid experiencing this loneliness in our relationship.",0
"i’ve been feeling emotionally disconnected for a while.",0
"you sense that we’re not emotionally in sync.",0
