type,sentence
0, "I’m still deciding what feels right for me."
0, "We should both have a say in what happens next."
0, "Let’s talk about what works for both of us."
0, "I don’t want to rush into anything without understanding it fully."
0, "What are your thoughts on how to move forward?"
0, "I just want an honest conversation, nothing more."
0, "We’re both allowed to take our time with this."
0, "I’m not asking for anything — just trying to share how I feel."
0, "There’s no pressure to decide right now."
0, "I’d rather hear how you feel than assume anything."
0, "Let’s slow down and figure this out together."
0, "It’s okay if you need space to think."
0, "I respect your boundaries and want to honor them."
0, "Take your time — I’m not in a rush."
0, "I'm not trying to push you, just being open."
0, "Let me know what feels right for you."
0, "There’s no deadline — we’ll talk when you’re ready."
0, "It’s important that this decision is mutual."
0, "Let’s check in again when we’re both feeling clearer."
0, "We can explore options when the time is right."
0, "There’s no obligation — just a conversation."
0, "Your comfort level matters to me."
0, "This isn’t a request, just something I’ve been thinking about."
0, "We don’t need to decide anything today."
0, "I want to make sure you’re okay with this too."
0, "Let’s revisit this when things feel more settled."
0, "You’re not expected to do anything right now."
0, "Whatever you choose, I’ll respect it."
0, "I’m not here to influence you, just to share my perspective."
0, "If you’re unsure, we can pause and reflect."
0, "There’s no right or wrong way to feel right now."
0, "Let’s just take this moment by moment."
0, "I’m not trying to sway you either way."
0, "We both deserve to feel heard and safe."
0, "No pressure — just openness."
0, "I’m not assuming anything from you."
0, "Your input matters just as much as mine."
0, "I’d like to understand your thoughts better."
0, "This isn’t about what I want — it’s about what we both want."
0, "There’s room for both of us to process this at our own pace."
0, "Let’s not rush to act before we’re ready."
0, "What do you need right now?"
0, "I’m not here to make demands."
0, "We can talk about this later if you’d prefer."
0, "It’s okay to say no."
0, "You don’t owe me anything."
0, "I just want this to feel good for both of us."
0, "There’s no need to decide anything tonight."
0, "Whatever happens, I’m here to talk."
0, "Let’s figure this out without pressure or expectations."
0, "I want to hear your perspective when you're ready."
0, "We can take things one step at a time."
0, "This isn’t about choosing sides — it’s about understanding."
0, "You don’t have to respond right away."
0, "Whatever decision you make, I’ll respect it."
0, "I’m not asking for anything — I just wanted to share."
0, "It’s totally okay if you feel differently."
0, "We’re allowed to process this in our own ways."
0, "I don’t expect you to fix this — I just needed to say it."
0, "If you’re unsure, that’s perfectly valid."
0, "I’m here to listen, not to pressure."
0, "We can revisit this whenever you’re ready."
0, "You don’t owe me an answer today."
0, "Your boundaries are important to me."
0, "This is a space for honesty, not expectation."
0, "I’m okay with taking some time apart to think."
0, "Let’s pause and give each other space to reflect."
0, "You’re free to make your own choices."
0, "We don’t have to define anything right now."
0, "I just wanted to talk — no agenda."
0, "There’s no pressure to agree with me."
0, "I'm just glad we can be open with each other."
0, "Let’s both take the time we need to figure this out."
