type,sentence
0,"It’s completely fine if your feelings differ from mine."
0,"It’s completely fine if my feelings differ from yours."
0,"I hope to hear your perspective when you feel up to it."
0,"I hope to hear my perspective when I feel up to it."
0,"It’s okay not to know what you want yet."
0,"It’s okay not to know what I want yet."
0,"I'm just glad we can be open with each other."
0,"You're just glad we can be open with each other."
0,"This isn’t a demand—just me being honest and straightforward."
0,"This isn’t a demand—just you being honest and straightforward."
0,"We have the right to process this in our individual ways."
0,"We have the right to process this in our individual ways."
0,"Let’s take a step back and unravel this together without haste."
0,"Let’s take a step back and unravel this together without haste."
0,"You're free to make whatever decisions you need to make for yourself."
0,"I'm free to make whatever decisions I need to make for myself."
0,"I don’t expect you to fix anything—I just felt the urge to speak out."
0,"You don’t expect me to fix anything—I just felt the urge to speak out."
0,"Let’s figure this out without pressure or expectations."
0,"Let’s figure this out without pressure or expectations."
0,"We can explore options when the time is right."
0,"We can explore options when the time is right."
0,"It’s important that this decision is mutual."
0,"It’s important that this decision is mutual."
0,"You don’t owe me an answer today."
0,"I don’t owe you an answer today."
0,"I feel a bit sad that we can’t address this now when emotions are high."
0,"You feel a bit sad that we can’t address this now when emotions are high."
0,"We're allowed the space to deliberate and reach a decision at our own pace."
0,"We're allowed the space to deliberate and reach a decision at our own pace."
0,"You don’t need to feel obligated to give me an answer today."
0,"I don’t need to feel obligated to give you an answer today."
0,"Let’s focus on what feels true rather than what’s expected."
0,"Let’s focus on what feels true rather than what’s expected."
0,"What are your thoughts on how to move forward?"
0,"What are my thoughts on how to move forward?"
0,"There’s room for both of us to process this at our own pace."
0,"There’s room for both of us to process this at our own pace."
0,"If now’s not a good time"
0,"If now’s not a good time..."
0,"It's essential that we both get to express what we want for our future."
0,"It's essential that we both get to express what we want for our future."
0,"We can take things one step at a time."
0,"We can take things one step at a time."
0,"We don’t have to define anything right now."
0,"We don’t have to define anything right now."
0,"It’s okay not to know what you want just yet; we have the time."
0,"It’s okay not to know what I want just yet; we have the time."
0,"We’re both allowed to take our time with this."
0,"We’re both allowed to take our time with this."
0,"We can come back to this conversation whenever you feel prepared."
0,"We can come back to this conversation whenever you feel prepared."
0,"I’m here, ready to listen whenever you feel the need to talk."
0,"You’re here, ready to listen whenever I feel the need to talk."
0,"I’m not looking for anything from you; I just wanted to voice my feelings."
0,"You’re not looking for anything from me; you just wanted to voice your feelings."
0,"We both deserve a voice in where we go from here; it's crucial."
0,"We both deserve a voice in where we go from here; it's crucial."
0,"Let’s pause and give each other space to reflect."
0,"Let’s pause and give each other space to reflect."
0,"Whatever path you choose is completely valid."
0,"Whatever path I choose is completely valid."
0,"Whatever you choose"
0,"Whatever I choose."
0,"I'm hoping we can come together and find a solution that respects us both."
0,"You're hoping we can come together and find a solution that respects us both."
0,"All I want is transparency and openness as we discuss this together."
0,"All you want is transparency and openness as we discuss this together."
0,"I’m frustrated that we have to put a pause on important conversations."
0,"You’re frustrated that we have to put a pause on important conversations."
0,"I’m not asking for anything — I just wanted to share."
0,"You’re not asking for anything — you just wanted to share."
0,"You’re free to make your own choices."
0,"I’m free to make my own choices."
0,"This isn’t about control — it’s about connection."
0,"This isn’t about control — it’s about connection."
0,"Please, just tell me how I can be there for you—I want to help."
0,"Please, just tell you how you can be there for me—I want to help."
0,"It makes me feel sad that you think I’d manipulate your decisions."
0,"It makes you feel sad that I think you’d manipulate my decisions."
0,"I want this to feel mutual"
0,"You want this to feel mutual."
0,"I really would love to hear your thoughts when you feel ready to share."
0,"You really would love to hear my thoughts when I feel ready to share."
0,"I’d prefer to know how you're feeling instead of making assumptions."
0,"You’d prefer to know how I'm feeling instead of making assumptions."
0,"I’m not trying to sway you either way."
0,"You’re not trying to sway me either way."
0,"This isn’t a request"
0,"This isn’t a request."
0,"We can revisit this whenever you’re ready."
0,"We can revisit this whenever I’m ready."
0,"You’re free to say yes"
0,"I’m free to say yes."
0,"We each deserve the space to process this in our own unique ways."
0,"We each deserve the space to process this in our own unique ways."
0,"Let’s not rush to act before we’re ready."
0,"Let’s not rush to act before we’re ready."
0,"I'm not trying to push you"
0,"You're not trying to push me."
0,"I’m here to listen to whatever you have to say."
0,"You’re here to listen to whatever I have to say."
0,"If your thoughts are different, that’s perfectly acceptable."
0,"If my thoughts are different, that’s perfectly acceptable."
0,"If you’re unsure."
0,"If I’m unsure."
0,"You’re not expected to do anything right now."
0,"I’m not expected to do anything right now."
0,"I hope you know it’s okay to feel lost and uncertain right now."
0,"You hope I know it’s okay to feel lost and uncertain right now."
0,"I'm still trying to navigate what feels right for me, and it's tough."
0,"You’re still trying to navigate what feels right for you, and it’s tough."
0,"Let’s check in again when we’re both feeling clearer."
0,"Let’s check in again when we’re both feeling clearer."
0,"I respect your boundaries and want to honor them."
0,"You respect my boundaries and want to honor them."
0,"There’s no need to decide anything tonight."
0,"There’s no need for me to decide anything tonight."
0,"Let’s talk about what works for both of us."
0,"Let’s talk about what works for both of us."
0,"It’s totally okay if you feel differently."
0,"It’s totally okay if I feel differently."
0,"We’re allowed to process this in our own ways."
0,"I’m allowed to process this in my own way."
0,"Can’t you see how constricting it feels when we focus only on the results?"
0,"Can’t I see how constricting it feels when you focus only on the results?"
0,"If you’re unsure"
0,"If I’m unsure."
0,"I’m okay with taking some time apart to think."
0,"You’re okay with taking some time apart to think."
0,"You don’t have to be anything other than honest."
0,"I don’t have to be anything other than honest."
0,"You don’t owe me anything."
0,"I don’t owe you anything."
0,"I feel so angry when you act like we’re opponents instead of partners!"
0,"You feel so angry when I act like we’re opponents instead of partners!"
0,"Let’s slow down and figure this out together."
0,"Let’s slow down and figure this out together."
0,"It’s perfectly fine if you require some space to gather your thoughts."
0,"It’s perfectly fine if I require some space to gather my thoughts."
0,"I want to hear your perspective when you're ready."
