cluster_id,type,sentence
25,0,"You yearn for a deep connection that we seem to have lost."
25,0,"You yearned for a deep connection that we seemed to have lost."
25,0,"You yearn for a deep connection that we seem to have lost."
25,0,"You will yearn for a deep connection that we seem to have lost."
9,0,"Let’s talk when we’re both calm."
9,0,"Let’s talked when we were both calm."
9,0,"Let’s talk when we’re both calm."
9,0,"Let’s talk when we will both be calm."
8,0,"Your connection has dulled, and you fear that you may never rediscover what made you whole."
8,0,"Your connection had dulled, and you feared that you might never rediscover what made you whole."
8,0,"Your connection has dulled, and you fear that you may never rediscover what made you whole."
8,0,"Your connection will have dulled, and you will fear that you may never rediscover what made you whole."
12,0,"You hope we can replace blame with compassion in our conversations."
12,0,"You hoped we could replace blame with compassion in our conversations."
12,0,"You hope we can replace blame with compassion in our conversations."
12,0,"You will hope we can replace blame with compassion in our conversations."
12,0,"You feel so drained from this constant effort to hold things together without any understanding."
12,0,"You felt so drained from that constant effort to hold things together without any understanding."
12,0,"You feel so drained from this constant effort to hold things together without any understanding."
12,0,"You will feel so drained from this constant effort to hold things together without any understanding."
2,0,"Confronting the unspoken is essential for our revival."
2,0,"Confronting the unspoken was essential for our revival."
2,0,"Confronting the unspoken is essential for our revival."
2,0,"Confronting the unspoken will be essential for our revival."
17,0,"I’ve felt lonely even when we’re together."
17,0,"I had felt lonely even when we were together."
17,0,"I feel lonely even when we’re together."
17,0,"I will feel lonely even when we are together."
8,0,"Inside, you’re carrying a heavy load of thoughts that you haven’t communicated."
8,0,"Inside, you were carrying a heavy load of thoughts that you hadn’t communicated."
8,0,"Inside, you’re carrying a heavy load of thoughts that you haven’t communicated."
8,0,"Inside, you will be carrying a heavy load of thoughts that you won’t have communicated."
20,0,"It's time to open the floodgates and share what we hold inside."
20,0,"It was time to open the floodgates and share what we held inside."
20,0,"It's time to open the floodgates and share what we hold inside."
20,0,"It will be time to open the floodgates and share what we will hold inside."
19,0,"Reconnecting feels like a journey you can’t undertake by yourself."
19,0,"Reconnecting felt like a journey you couldn’t undertake by yourself."
19,0,"Reconnecting feels like a journey you can’t undertake by yourself."
19,0,"Reconnecting will feel like a journey you can’t undertake by yourself."
11,0,"I want to work on this, but I can’t do it alone."
11,0,"I wanted to work on this, but I couldn't do it alone."
11,0,"I want to work on this, but I can’t do it alone."
11,0,"I will want to work on this, but I won’t be able to do it alone."
23,0,"It’s painfully apparent that we’ve drifted apart; we’re reading from different scripts now."
23,0,"It was painfully apparent that we had drifted apart; we were reading from different scripts then."
23,0,"It’s painfully apparent that we’ve drifted apart; we’re reading from different scripts now."
23,0,"It will be painfully apparent that we will have drifted apart; we will be reading from different scripts then."
12,0,"It worries you that your paths seem to have diverged so starkly."
12,0,"It worried you that your paths seemed to have diverged so starkly."
12,0,"It worries you that your paths seem to have diverged so starkly."
12,0,"It will worry you that your paths will seem to have diverged so starkly."
2,0,"The disinterest feels like a slow erosion of your bond."
2,0,"The disinterest felt like a slow erosion of your bond."
2,0,"The disinterest feels like a slow erosion of your bond."
2,0,"The disinterest will feel like a slow erosion of your bond."
10,0,"I come to you not for conflict, but simply for the opportunity to share my feelings."
10,0,"I came to you not for conflict, but simply for the opportunity to share my feelings."
10,0,"I come to you not for conflict, but simply for the opportunity to share my feelings."
10,0,"I will come to you not for conflict, but simply for the opportunity to share my feelings."
12,0,"You want to reach me, but it feels like there's a barrier in the way."
12,0,"You wanted to reach me, but it felt like there was a barrier in the way."
12,0,"You want to reach me, but it feels like there's a barrier in the way."
12,0,"You will want to reach me, but it will feel like there's a barrier in the way."
18,0,"How about you hit the brakes for now and come back when you’ve both gathered your thoughts?"
18,0,"How about you hit the brakes for now and came back when you had both gathered your thoughts?"
18,0,"How about you hit the brakes for now and come back when you’ve both gathered your thoughts?"
18,0,"How about you hit the brakes for now and will come back when you’ll have both gathered your thoughts?"
8,0,"My heart is bursting with thoughts I haven’t shared—I’m carrying so much inside!"
8,0,"My heart was bursting with thoughts I hadn’t shared—I was carrying so much inside!"
8,0,"My heart is bursting with thoughts I haven’t shared—I’m carrying so much inside!"
8,0,"My heart will be bursting with thoughts I haven’t shared—I will be carrying so much inside!"
12,0,"I feel weary and beaten down when my attempts don’t receive the recognition they deserve."
12,0,"I felt weary and beaten down when my attempts didn’t receive the recognition they deserved."
12,0,"I feel weary and beaten down when my attempts don’t receive the recognition they deserve."
12,0,"I will feel weary and beaten down when my attempts won’t receive the recognition they deserve."
9,0,"The disinterest feels like a slow erosion of our bond."
9,0,"The disinterest felt like a slow erosion of our bond."
9,0,"The disinterest feels like a slow erosion of our bond."
9,0,"The disinterest will feel like a slow erosion of our bond."
18,0,"You act like this dynamic is normal when you're struggling inside."
18,0,"You acted like this dynamic was normal when you were struggling inside."
18,0,"You act like this dynamic is normal when you're struggling inside."
18,0,"You will act like this dynamic will be normal when you will be struggling inside."
16,0,"Each day, you wish for a gesture that reaffirms our connection."
16,0,"Each day, you wished for a gesture that reaffirmed our connection."
16,0,"Each day, you wish for a gesture that reaffirms our connection."
16,0,"Each day, you will wish for a gesture that will reaffirm our connection."
25,0,"When my efforts go unnoticed, my motivation wanes, making it all seem so pointless."
25,0,"When my efforts went unnoticed, my motivation waned, making it all seem so pointless."
25,0,"When my efforts go unnoticed, my motivation wanes, making it all seem so pointless."
25,0,"When my efforts will go unnoticed, my motivation will wane, making it all seem so pointless."
8,0,"Reconnecting feels like a journey I can’t undertake by myself."
8,0,"Reconnecting felt like a journey I couldn’t undertake by myself."
8,0,"Reconnecting feels like a journey I can’t undertake by myself."
8,0,"Reconnecting will feel like a journey I can’t undertake by myself."
6,0,"Even when you reach out, you feel like I turn away."
6,0,"Even when you reached out, you felt like I turned away."
6,0,"Even when you reach out, you feel like I turn away."
6,0,"Even when you will reach out, you will feel like I will turn away."
25,0,"There’s a lot of pain we haven’t addressed."
25,0,"There was a lot of pain we hadn't addressed."
25,0,"There is a lot of pain we haven't addressed."
25,0,"There will be a lot of pain we haven't addressed."
9,0,"It would be good to wait until we’re both composed before diving into this talk."
9,0,"It was good to wait until we were both composed before diving into that talk."
9,0,"It is good to wait until we are both composed before diving into this talk."
9,0,"It will be good to wait until we are both composed before diving into this talk."
8,0,"I don’t want to lose us, but we’re fading."
8,0,"I didn't want to lose us, but we were fading."
8,0,"I don't want to lose us, but we are fading."
8,0,"I won't want to lose us, but we will be fading."
12,0,"It’s important to me to know how you feel; I want our hearts to connect deeply."
12,0,"It was important to me to know how you felt; I wanted our hearts to connect deeply."
12,0,"It is important to me to know how you feel; I want our hearts to connect deeply."
12,0,"It will be important to me to know how you will feel; I will want our hearts to connect deeply."
12,0,"I’m struggling with this dynamic and I don’t know how to express it properly."
12,0,"I struggled with this dynamic and I didn't know how to express it properly."
12,0,"I struggle with this dynamic and I don't know how to express it properly."
12,0,"I will struggle with this dynamic and I won't know how to express it properly."
2,0,"You just want to hear that you’re still connected through this; you need that reassurance."
2,0,"You just wanted to hear that you were still connected through this; you needed that reassurance."
2,0,"You just want to hear that you are still connected through this; you need that reassurance."
2,0,"You will just want to hear that you are still connected through this; you will need that reassurance."
17,0,"Frequent emotional engagement is crucial for your healing."
17,0,"Frequent emotional engagement was crucial for your healing."
17,0,"Frequent emotional engagement is crucial for your healing."
17,0,"Frequent emotional engagement will be crucial for your healing."
8,0,"The lack of your response chills them to the bone; it terrifies them far more than any display of anger."
8,0,"The lack of your response chilled them to the bone; it terrified them far more than any display of anger."
8,0,"The lack of your response chills them to the bone; it terrifies them far more than any display of anger."
8,0,"The lack of your response will chill them to the bone; it will terrify them far more than any display of anger."
20,0,"This conversation should foster understanding, not blame; you need to be clear."
20,0,"This conversation should have fostered understanding, not blame; you needed to be clear."
20,0,"This conversation should foster understanding, not blame; you need to be clear."
20,0,"This conversation will foster understanding, not blame; you will need to be clear."
19,0,"There's a gap between you that feels impossible to bridge."
19,0,"There was a gap between you that felt impossible to bridge."
19,0,"There is a gap between you that feels impossible to bridge."
19,0,"There will be a gap between you that will feel impossible to bridge."
11,0,"Sometimes, I look at you and feel a disconnect, as if you’re a stranger to me."
11,0,"Sometimes, I looked at you and felt a disconnect, as if you were a stranger to me."
11,0,"Sometimes, I look at you and feel a disconnect, as if you are a stranger to me."
11,0,"Sometimes, I will look at you and feel a disconnect, as if you will be a stranger to me."
23,0,"I really hope we can solve this together because I don't have the strength to do it solo."
23,0,"I really hoped we could solve this together because I didn't have the strength to do it solo."
23,0,"I really hope we can solve this together because I don't have the strength to do it solo."
23,0,"I really will hope we can solve this together because I won't have the strength to do it solo."
12,0,"I’m grasping for something that feels like it’s vanishing."
12,0,"I was grasping for something that felt like it was vanishing."
12,0,"I am grasping for something that feels like it is vanishing."
12,0,"I will be grasping for something that will feel like it is vanishing."
2,0,"My presence feels empty when my heart isn’t with you."
2,0,"My presence felt empty when my heart wasn't with you."
2,0,"My presence feels empty when my heart isn't with you."
2,0,"My presence will feel empty when my heart isn't with you."
10,0,"It frustrates me that I can’t awaken the spark we once had."
10,0,"It frustrated me that I couldn't awaken the spark we once had."
10,0,"It frustrates me that I can't awaken the spark we once had."
10,0,"It will frustrate me that I can't awaken the spark we once had."
12,0,"My silence makes you yearn for the words left unsaid."
12,0,"My silence made you yearn for the words left unsaid."
12,0,"My silence makes you yearn for the words left unsaid."
12,0,"My silence will make you yearn for the words left unsaid."
18,0,"I’ve been sitting with a lot of thoughts I haven’t shared."
18,0,"I had been sitting with a lot of thoughts I hadn't shared."
18,0,"I am sitting with a lot of thoughts I haven't shared."
18,0,"I will be sitting with a lot of thoughts I won't share."
8,0,"You’ve noticed a shift in our relationship, and it's been hard for you to ignore."
8,0,"You had noticed a shift in our relationship, and it had been hard for you to ignore."
8,0,"You notice a shift in our relationship, and it is hard for you to ignore."
8,0,"You will notice a shift in our relationship, and it will be hard for you to ignore."
12,0,"The turmoil within you is yearning for a voice; it's a heavy burden."
12,0,"The turmoil within you was yearning for a voice; it was a heavy burden."
12,0,"The turmoil within you is yearning for a voice; it is a heavy burden."
12,0,"The turmoil within you will be yearning for a voice; it will be a heavy burden."
9,0,"The thought of our connection slipping away fills me with dread."
9,0,"The thought of our connection slipping away filled me with dread."
9,0,"The thought of our connection slipping away fills me with dread."
9,0,"The thought of our connection slipping away will fill me with dread."
18,0,"We need to have a real conversation about this, you and I."
