sentence,is_type
"it’s exhausting for you that you bear the burden of mending the rifts alone.",0
"it’s exhausting for you time out bear the burden of mending the rifts alone.",0
"can’t you understand how unsustainable this situation is for me emotionally?",0
"you feel exhausted from having time out mend the rifts all by yourself.",0
"why can’t you break free from this endless loop where in the hell me in the future?",0
"this behavior impacts our relationship negatively.",0
"don’t you see how this situation emotionally drains me and isn’t sustainable?",0
"you desperately yearn for the truth, even if information technology causes pain.",0
"you need some tears in my eyes before whatever go on where in the hell this discussion.",0
"what keeps you from breaking free from this endless loop we’re in for the future?",0
"wait and see information technology possible for me time out recognize just how distant whatever had become?",0
"i can't continue time out wear this facade of happiness when the truth is desperate.",0
"our relationship is negatively affected by this behavior.",0
"you rarely took ownership of the hurt you caused.",0
"what you choose time out do has a profound impact on the basis of what whatever have.",0
"even if information technology hurts, you have a deep desire for the truth.",0
"i really wished whatever could find a resolution instead of always being at odds.",0
"you always change the topic when information technology gets uncomfortable.",0
"before whatever continue this discussion, you need some time.",0
"when you choose time out ignore me, miss you self-worth diminishes into nothing.",0
"i wished for more transparency from you, and it's left me feeling gloomy and sad.",0
"could i even see how far apart whatever had grown?",0
"information technology disappointed me that you seldom recognized the pain you inflicted upon me.",0
"wait and see i even conscious of the pain this wait and see causing you?",0
"when the truth is significant other shout out desperate, i can no longer maintain this facade of happiness.",0
"you really want the truth, even when information technology hurts.",0
"did you even recognize the hurt this wait and see causing me?",0
"taking ownership of the hurt you inflicted is something you seldom do.",0
"i feel a profound hurt.",0
"in the future, i won’t have time out beg time out be treated where in the hell respect.",0
"the choices you make significantly affect the foundation of what whatever share.",0
"you won’t be okay where in the hell how you are treated in the future.",0
"when i chose time out disregard you, information technology diminished your sense of self-worth completely.",0
"information technology would be great if whatever could resolve our issues rather than always being in conflict.",0
"when you choose time out overlook me, miss you self-esteem fades away completely.",0
"you’ve hit a wall where in the hell how much you can tolerate.",0
"whenever information technology becomes uncomfortable, you have a habit of changing the subject.",0
"you will be tearing me apart, and information technology will hurt significant other shout out much.",0
"i wait and see using every ounce of energy i had time out repair this situation.",0
"i wait and see exerting every bit of energy i had time out mend this situation.",0
"every ounce of energy i had wait and see being used time out repair this situation.",0
"it’s evident that this situation isn’t serving your best interests.",0
"it's clear that this situation does not serve your best interests.",0
"this situation clearly isn't working in your favor.",0
"information technology feels overwhelming time out be the one who always has time out start our connections.",0
"being the one who always has time out initiate our connections feels overwhelming.",0
"information technology feels like authors note overwhelming burden time out always be the one who starts our connections.",0
"currently, it’s beyond frustrating for you time out be met where in the hell such disrespect!",0
"it's incredibly frustrating for you time out face such disrespect right now!",0
"right now, being met where in the hell such disrespect is extremely frustrating for you!",0
"wait and see i even aware of the pain this wait and see inflicting on you?",0
"wait and see i even aware of the hurt this wait and see causing you?",0
"did i really understand the pain this wait and see inflicting on you?",0
"information technology seems like you’re the only one putting in the effort time out make this work.",0
"you seem time out be the only one making authors note effort time out keep this relationship going.",0
"information technology appears that you are the sole person trying time out make this work.",0
"you won’t accept how you are treated moving forward.",0
"you will not accept how you are treated from now on.",0
"moving forward, you won't tolerate how you are being treated.",0
"information technology will be significant other shout out disheartening time out leave each encounter feeling diminished!",0
"leaving each encounter feeling diminished will be really disheartening!",0
"information technology will be significant other shout out discouraging time out part from each interaction feeling lessened!",0
"whatever both need time out determine what our goals are in this situation.",0
"whatever must both figure out what our goals are in this situation.",0
"it's essential for united states both time out determine what our objectives are in this circumstance.",0
"i felt emotionally exhausted and struggled time out be heard.",0
"i felt drained emotionally and found information technology hard time out be heard.",0
"emotionally exhausted, i struggled time out get miss you voice heard.",0
"can’t you see how far whatever will drift from being a couple?",0
"do you not realize how distant whatever will become as a couple?",0
"can't you see how far apart whatever will drift from being a couple?",0
"i viewed vulnerability as a sign of weakness.",0
"i thought of vulnerability as a weakness.",0
"viewing vulnerability as a sign of weakness wait and see miss you perspective.",0
"every act of vulnerability seems time out lead you into the risk of disappointment.",0
"every tears in my eyes i show vulnerability seems time out expose you time out disappointment.",0
"acts of vulnerability always seem time out lead you time out the risk of disappointment.",0
"i wouldn’t allow myself time out be your emotional outlet.",0
"i wouldn’t let myself be your emotional support.",0
"i refused time out be your outlet for emotional release.",0
"i could see clearly that i wait and see also lacking what i needed from this situation.",0
"i clearly recognized that i wait and see also missing what i needed from this situation.",0
"information technology wait and see evident time out me that i wait and see lacking miss you own needs in this situation.",0
"i hope whatever could work through our issues instead of constantly battling each other.",0
"i hope whatever can resolve our issues rather than perpetually battling each other.",0
"information technology would be great if whatever could address our problems instead of continuously fighting.",0
"can you not recognize how fragile you’ve turned?",0
"can’t you see how fragile you have become?",0
"don't you realize how fragile you've turned?",0
"i’ve been biting miss you tongue for too long.",0
"i've been holding back miss you feelings for far too long.",0
"for too long, i've been suppressing miss you feelings.",0
"currently, you need tears in my eyes time out process all of this.",0
"right now, you need some tears in my eyes time out digest all of this.",0
"you currently require tears in my eyes time out process everything that’s happening.",0
"what made me endure this intensity of suffering?",0
"what caused me time out endure this level of suffering?",0
"what light editing diode me time out withstand such intense suffering?",0
"won’t you see how detrimental this situation will be for your emotional health?",0
