cluster_id,type,sentence
219,2,"I was once your world, but now that light dims as you face my coldness."
219,2,"I had once been your world, but then that light dimmed as you faced my coldness."
219,2,"I am once your world, but now that light dims as you face my coldness."
219,2,"I will be once your world, but that light will dim as you face my coldness."
226,2,"You gave up everything to support me, and now I won’t even consider your feelings."
226,2,"You had given up everything to support me, and then I wouldn’t even consider your feelings."
226,2,"You give up everything to support me, and now I won’t even consider your feelings."
226,2,"You will give up everything to support me, and then I won’t even consider your feelings."
225,2,It's disheartening to see my dedication returned with such indifference.
225,2,It was disheartening to see my dedication returned with such indifference.
225,2,It is disheartening to see my dedication returned with such indifference.
225,2,It will be disheartening to see my dedication returned with such indifference.
211,2,"After all I went through, it stings to see you refuse to lend a hand now."
211,2,"After all I went through, it stung to see you refuse to lend a hand then."
211,2,"After all I go through, it stings to see you refuse to lend a hand now."
211,2,"After all I will go through, it will sting to see you refuse to lend a hand."
230,2,"I thought you'd remember my kindness, but clearly, you don't"
230,2,"I had thought you would remember my kindness, but clearly, you didn’t."
230,2,"I think you remember my kindness, but clearly, you don’t."
230,2,"I will think you remember my kindness, but clearly, you won’t."
215,2,"You endured losses for me, and now I won’t even acknowledge them."
215,2,"You had endured losses for me, and then I wouldn’t even acknowledge them."
215,2,"You endure losses for me, and now I won’t even acknowledge them."
215,2,"You will endure losses for me, and then I won’t even acknowledge them."
230,2,"You'd always believed in my potential, only to find yours tossed aside and forgotten."
230,2,"You had always believed in my potential, only to find yours tossed aside and forgotten."
230,2,"You always believe in my potential, only to find yours tossed aside and forgotten."
230,2,"You will always believe in my potential, only to find yours tossed aside and forgotten."
228,2,"I thought family meant supporting each other, but I guess I was wrong"
228,2,"I had thought family meant supporting each other, but I guess I was wrong."
228,2,"I think family means supporting each other, but I guess I am wrong."
228,2,"I will think family means supporting each other, but I guess I will be wrong."
230,2,"You gave me the best years of your life, and now I treat you this way."
230,2,"You had given me the best years of your life, and then I treated you this way."
230,2,"You give me the best years of your life, and now I treat you this way."
230,2,"You will give me the best years of your life, and then I will treat you this way."
210,2,I can't believe you'd choose them over me after all we've been through
210,2,I couldn’t believe you had chosen them over me after all we had been through.
210,2,I can’t believe you choose them over me after all we have been through.
210,2,I won’t believe you will choose them over me after all we will have been through.
214,2,"Your heart aches realizing the truth; you believed in us, but now you feel so alone."
214,2,"Your heart ached realizing the truth; you had believed in us, but now you feel so alone."
214,2,"Your heart aches realizing the truth; you believe in us, but now you feel so alone."
214,2,"Your heart will ache realizing the truth; you will believe in us, but now you will feel so alone."
215,2,Remember when you stood by me during my tough times? I need you now.
215,2,You had remembered when you stood by me during my tough times; I need you then.
215,2,You remember when you stand by me during my tough times; I need you now.
215,2,You will remember when you stand by me during my tough times; I will need you then.
215,2,"You put your life on hold for me, and now I won't even consider your needs."
215,2,"You had put your life on hold for me, and then I wouldn’t even consider your needs."
215,2,"You put your life on hold for me, and now I won’t even consider your needs."
215,2,"You will put your life on hold for me, and then I won’t even consider your needs."
211,2,"You believed in us deeply, but now you feel the emptiness of my absence in your life."
211,2,"You had believed in us deeply, but now you feel the emptiness of my absence in your life."
211,2,"You believe in us deeply, but now you feel the emptiness of my absence in your life."
211,2,"You will believe in us deeply, but now you will feel the emptiness of my absence in your life."
210,2,"It hurts you deeply to think of all you’ve faced for me, and now you feel unheard."
210,2,"It hurt you deeply to think of all you had faced for me, and now you feel unheard."
210,2,"It hurts you deeply to think of all you face for me, and now you feel unheard."
210,2,"It will hurt you deeply to think of all you will face for me, and now you will feel unheard."
214,2,"You sacrificed your peace for me, and now I bring you turmoil."
214,2,"You had sacrificed your peace for me, and now I bring you turmoil."
214,2,"You sacrifice your peace for me, and now I bring you turmoil."
214,2,"You will sacrifice your peace for me, and then I will bring you turmoil."
212,2,I thought our bond was stronger than this after all we've been through
212,2,I had thought our bond was stronger than this after all we had been through.
212,2,I think our bond is stronger than this after all we have been through.
212,2,I will think our bond will be stronger than this after all we will have been through.
226,2,Why would you treat me this way if you truly loved me at all?
226,2,Why would you have treated me this way if you had truly loved me at all?
226,2,Why do you treat me this way if you truly love me at all?
226,2,Why will you treat me this way if you truly love me at all?
223,2,The years you devoted to me now feel like a burden you carry alone; it's unbearable.
223,2,The years you devoted to me had felt like a burden you carried alone; it was unbearable.
223,2,The years you devote to me feel like a burden you carry alone; it is unbearable.
223,2,The years you will devote to me will feel like a burden you will carry alone; it will be unbearable.
225,2,Do my struggles not mean anything to you if you can't even hear me out?
225,2,Do my struggles not mean anything to you if you can’t even hear me out?
225,2,Do my struggles not mean anything to you if you can’t even hear me out?
225,2,Do my struggles not mean anything to you if you won’t even hear me out?
218,2,It breaks your heart to lose the people you cared for only to feel abandoned by me.
218,2,It broke your heart to lose the people you cared for only to feel abandoned by me.
218,2,It breaks your heart to lose the people you care for only to feel abandoned by me.
218,2,It will break your heart to lose the people you care for only to feel abandoned by me.
210,2,It’s disheartening to think I traded my independence for this lack of support.
210,2,It was disheartening to think I had traded my independence for this lack of support.
210,2,It is disheartening to think I trade my independence for this lack of support.
210,2,It will be disheartening to think I will trade my independence for this lack of support.
213,2,"You fought through so much for me, and my lack of support feels like a betrayal."
213,2,"You had fought through so much for me, and my lack of support had felt like a betrayal."
213,2,"You fight through so much for me, and my lack of support feels like a betrayal."
213,2,"You will fight through so much for me, and my lack of support will feel like a betrayal."
225,2,"Where once you were a team in crisis, now you are left longing for my companionship as you struggle."
225,2,"Where once you had been a team in crisis, now you are left longing for my companionship as you struggled."
225,2,"Where you are a team in crisis, now you are left longing for my companionship as you struggle."
225,2,"Where you will be a team in crisis, now you will be left longing for my companionship as you struggle."
229,2,"I feel like my steadfastness has been lost on you, leaving me feeling alone."
229,2,"I had felt like my steadfastness had been lost on you, leaving me feeling alone."
229,2,"I feel like my steadfastness is lost on you, leaving me feeling alone."
229,2,"I will feel like my steadfastness will be lost on you, leaving me feeling alone."
219,2,"The truth cuts deep; I believed in our bond, yet it feels like a mirage now."
219,2,"The truth cut deep; I believed in our bond, yet it felt like a mirage then."
219,2,"The truth cuts deep; I believe in our bond, yet it feels like a mirage now."
219,2,"The truth will cut deep; I will believe in our bond, yet it will feel like a mirage then."
226,2,"You gave me your all, and now I can't even give you a moment of my time."
226,2,"You gave me your all, and then I couldn't even give you a moment of my time."
226,2,"You give me your all, and now I can't even give you a moment of my time."
226,2,"You will give me your all, and then I won't even give you a moment of my time."
225,2,"Your heart is broken because you believed in me, and now you feel so betrayed."
225,2,"Your heart was broken because you believed in me, and then you felt so betrayed."
225,2,"Your heart is broken because you believe in me, and now you feel so betrayed."
225,2,"Your heart will be broken because you will believe in me, and then you will feel so betrayed."
211,2,Do I realize how much you gave up for me?
211,2,Did I realize how much you gave up for me?
211,2,Do I realize how much you give up for me?
211,2,Will I realize how much you will give up for me?
230,2,It's heartbreaking to see your selfless love and support met with such indifference.
230,2,It was heartbreaking to see your selfless love and support met with such indifference.
230,2,It's heartbreaking to see your selfless love and support met with such indifference.
230,2,It will be heartbreaking to see your selfless love and support met with such indifference.
215,2,The trust I placed in you is shattered; I wonder if you'll ever recognize my support.
215,2,The trust I placed in you was shattered; I wondered if you would ever recognize my support.
215,2,The trust I place in you is shattered; I wonder if you will ever recognize my support.
215,2,The trust I will place in you will be shattered; I will wonder if you will ever recognize my support.
230,2,It’s disheartening for you to see your generosity met with refusal when you need it back.
230,2,It was disheartening for you to see your generosity met with refusal when you needed it back.
230,2,It's disheartening for you to see your generosity met with refusal when you need it back.
230,2,It will be disheartening for you to see your generosity met with refusal when you need it back.
228,2,"The disappointment is overwhelming, making me question everything I did for you."
228,2,"The disappointment was overwhelming, making me question everything I did for you."
228,2,"The disappointment is overwhelming, making me question everything I do for you."
228,2,"The disappointment will be overwhelming, making me question everything I do for you."
230,2,I have given up so much for you.
230,2,I had given up so much for you.
230,2,I have given up so much for you.
230,2,I will have given up so much for you.
210,2,How could I turn my back on you after you stood by me so fiercely?
210,2,How could I have turned my back on you after you stood by me so fiercely?
210,2,How could I turn my back on you after you stand by me so fiercely?
210,2,How could I turn my back on you after you will stand by me so fiercely?
214,2,"It pains me to silence my needs, feeling unheard and invisible to you."
214,2,"It pained me to silence my needs, feeling unheard and invisible to you."
214,2,"It pains me to silence my needs, feeling unheard and invisible to you."
214,2,"It will pain me to silence my needs, feeling unheard and invisible to you."
215,2,"If you cared about me, you wouldn't do this"
215,2,"If you cared about me, you wouldn't have done this."
215,2,"If you care about me, you won't do this."
215,2,"If you will care about me, you won't do this."
215,2,"I endured hardships for you, and now you won't even listen to me"
215,2,"I endured hardships for you, and then you wouldn't even listen to me."
215,2,"I endure hardships for you, and now you won't even listen to me."
215,2,"I will endure hardships for you, and then you won't even listen to me."
211,2,My heart aches knowing that my happiness was sacrificed for this pain.
211,2,My heart ached knowing that my happiness was sacrificed for this pain.
211,2,My heart aches knowing that my happiness is sacrificed for this pain.
211,2,My heart will ache knowing that my happiness will be sacrificed for this pain.
210,2,Did my compassion mean so little to you? It feels like it was cast aside.
210,2,Did my compassion mean so little to you? It felt like it was cast aside.
210,2,Does my compassion mean so little to you? It feels like it is cast aside.
210,2,Will my compassion mean so little to you? It will feel like it is cast aside.
214,2,"I believed your happiness would reflect on me, but instead, it deepens my sadness."
214,2,"I believed your happiness would reflect on me, but instead, it deepened my sadness."
214,2,"I believe your happiness reflects on me, but instead, it deepens my sadness."
214,2,"I will believe your happiness will reflect on me, but instead, it will deepen my sadness."
212,2,"I sacrificed so much, and yet you show me this kind of appreciation?"
212,2,"I sacrificed so much, and yet you showed me this kind of appreciation?"
212,2,"I sacrifice so much, and yet you show me this kind of appreciation?"
212,2,"I will sacrifice so much, and yet you will show me this kind of appreciation?"
226,2,"I gave up so much professional potential for you, and you can't even support me?"
226,2,"I gave up so much professional potential for you, and then you couldn't even support me?"
226,2,"I give up so much professional potential for you, and now you can't even support me?"
226,2,"I will give up so much professional potential for you, and then you won't even support me?"
223,2,"Each sacrifice was an act of love, yet I stand here heartbroken as you overlook my needs."
223,2,"Each sacrifice was an act of love, yet I stood here heartbroken as you overlooked my needs."
223,2,"Each sacrifice is an act of love, yet I stand here heartbroken as you overlook my needs."
223,2,"Each sacrifice will be an act of love, yet I will stand here heartbroken as you overlook my needs."
225,2,"Fading kindness is painful; I thought it would remain remembered, yet here we are..."
225,2,"Fading kindness was painful; I thought it would remain remembered, yet here we were..."
225,2,"Fading kindness is painful; I think it will remain remembered, yet here we are..."
225,2,"Fading kindness will be painful; I will think it will remain remembered, yet here we will be..."
218,2,"I did everything to make you happy, and this is how you repay me"
218,2,"I did everything to make you happy, and this was how you repaid me."
218,2,"I do everything to make you happy, and this is how you repay me."
218,2,"I will do everything to make you happy, and this will be how you repay me."
210,2,"You sacrificed your relationships for me, and now I abandon you."
210,2,"You sacrificed your relationships for me, and now I abandon you."
210,2,"You sacrifice your relationships for me, and now I abandon you."
210,2,"You will sacrifice your relationships for me, and now I will abandon you."
