type,sentence
0, "Don't you ever think of anyone but yourself"
0, "Everyone thinks you're the problem"
0, "It's your fault you won't see that"
0, "Just what have I done wrong with you"
0, "See how out of control you are"
0, "Shame on you"
0, "Stop being mean to your mom"
0, "That was all their fault"
0, "What did you think? The world was created to serve you"
0, "Why do you do this to me"
0, "Why have you lied to me all these years"
0, "You always do this"
0, "You are a terrible listener"
0, "You are making everyone else miserable"
0, "You blame everyone for problems but yourself"
0, "You deserved it"
0, "You don't respect anyone"
0, "You hold grudges"
0, "You make everything harder for yourself"
0, "You should feel ashamed of yourself"
0, "You think that just because I've done bad things to you, you get to feel sorry for yourself"
0, "You were awfully disrespectful as a teenager"
0, "You won't ever get along with anyone if you are like this"
0, "You're acting selfish"
0, "You're always blowing things out of proportion"
0, "You're always finding something to complain about"
0, "You're always finding something to criticize"
0, "You're always looking for something to complain about"
0, "You're always making excuses"
0, "You're always making mountains out of molehills"
0, "You're always making things difficult"
0, "You're always overreacting"
0, "You're always playing the victim"
0, "You're always ruining everything"
0, "You're always so critical"
0, "You're always so critical"
0, "You're always so demanding"
0, "You're always so difficult to deal with"
0, "You're always so hard to please"
0, "You're always so negative"
0, "You're always so negative"
0, "You're always trying to make me feel guilty"
0, "You're always trying to start a fight"
0, "You're just being dramatic"
0, "You're just being irrational"
0, "You're just being irrational"
0, "You're just being paranoid"
0, "You're just being petty"
0, "You're just being selfish"
0, "You're just being unreasonable"
0, "You're just being unreasonable"
0, "You're just making yourself the victim"
0, "You're just trying to control me"
0, "You're just trying to make me feel bad"
0, "You're just trying to make me feel guilty"
0, "You're just trying to make me look bad"
0, "You're just trying to make me look bad"
0, "You're just trying to manipulate me"
0, "You're just trying to pick a fight"
0, "You're just trying to ruin everything"
0, "You're making a big deal out of nothing"
0, "You're selfish and ungrateful"
0, "You're so entitled"
0, "You're so ungrateful"
0, "You're spoilt"
0, "You're the one breaking the peace"
0, "You're the one causing all the problems"
0, "You're the one who needs to change"
0, "You're the one who's always causing fights"
0, "You're the one who's always complaining"
0, "You're the one who's always dissatisfied"
0, "You're the one who's always negative"
0, "You're the one who's always unhappy"
0, "You're the one who's always unhappy"
0, "You're the one who's being difficult"
0, "You're the one who's being unreasonable"
0, "You're the one who's causing all the stress"
0, "You're the one who's making things difficult"
0, "You're the one who's making things worse"
0, "You're the one who's making this difficult"
0, "You're the only one who doesn't get it"
0, "You're the only one who doesn't see the truth"
0, "You're the only person I have these problems with"
0, "You're the reason I can't be happy"
0, "You're the reason I can't be myself"
0, "You're the reason I can't enjoy anything"
0, "You're the reason I can't enjoy anything"
0, "You're the reason I can't have any fun"
0, "You're the reason I can't have any peace"
0, "You're the reason I can't relax"
0, "You're the reason I can't relax"
0, "You're the reason I can't trust anyone"
0, "You're the reason I can't trust you"
0, "You're the reason I get so angry"
0, "You're the reason I have to be on edge"
0, "You're the reason I have to be this way"
0, "You're the reason I have to be this way"
0, "You're the reason I have to lie"
0, "You're the reason we're in this mess"
0, "You're unforgiving"
1, "I wouldn't be so stressed if you helped out more at home"
1, "I wouldn't be so tired if you didn't snore all night"
1, "I wouldn't drink so much if my job wasn't so stressful"
1, "I wouldn't feel insecure if you didn't flirt with others"
1, "I wouldn't have gotten angry if you hadn't interrupted me"
1, "I wouldn't have lied if you weren't so judgmental"
1, "I wouldn't have overreacted if you hadn't lied"
1, "I wouldn't have to complain if you did your share"
1, "I wouldn't have to micromanage if you were more responsible"
1, "I wouldn't have to nag if you did things right the first time"
1, "I wouldn't have to repeat myself if you paid attention"
1, "I wouldn't have yelled if you hadn't provoked me"
1, "If you had been clearer, I wouldn't have misunderstood"
1, "If you had been honest from the start, we wouldn't be here"
1, "If you had been more attentive, this wouldn't have happened"
1, "If you had been more diligent, this error wouldn't exist"
1, "If you had been more respectful, we'd have a better relationship"
1, "If you had been more supportive, things would be different"
1, "If you had better judgment, we wouldn't be here"
1, "If you had communicated better, this misunderstanding wouldn't have occurred"
1, "If you had listened to advice, this could have been avoided"
1, "If you had planned ahead, we wouldn't be scrambling now"
1, "If you had reminded me, I wouldn't have forgotten our anniversary"
1, "If you had taken responsibility, we wouldn't be in trouble"
1, "If you hadn't agreed to that, we wouldn't be in this mess"
1, "If you hadn't been late, we wouldn't have missed the movie"
1, "If you hadn't been on your phone, you'd have noticed the problem"
1, "If you hadn't been so careless, the accident wouldn't have happened"
1, "If you hadn't been so trusting, we wouldn't have been scammed"
1, "If you hadn't borrowed the car, I wouldn't have been late"
1, "If you hadn't bought that expensive item, we could afford a vacation"
1, "If you hadn't forgotten to pay the bill, we wouldn't have a late fee"
1, "If you hadn't ignored my advice, things would be better"
1, "If you hadn't insisted on that route, we wouldn't be stuck in traffic"
1, "If you hadn't invited them, the party wouldn't have been ruined"
1, "If you hadn't left the door unlocked, we wouldn't have been robbed"
1, "If you hadn't made that decision, we wouldn't be facing these consequences"
1, "If you hadn't procrastinated, we wouldn't be rushing now"
1, "If you hadn't spent so much time at work, our relationship wouldn't have suffered"
1, "If you hadn't told them, our secret would be safe"
1, "If you knew how to listen"
1, "If you listened to me, things wouldn't have gone wrong"
1, "If you took better care of yourself, I wouldn't have to worry so much"
1, "If you trusted me, I wouldn't feel the need to hide things"
1, "If you were more affectionate, I wouldn't seek attention elsewhere"
1, "If you were more ambitious, we'd have a better life"
1, "If you were more attentive, you'd notice these details"
1, "If you were more considerate, we wouldn't argue so much"
1, "If you were more decisive, we could move forward"
1, "If you were more flexible, we could find a solution"
1, "If you were more open-minded, we'd have more options"
1, "If you were more organized, our plans wouldn't fall apart"
1, "If you were more organized, this wouldn't be an issue"
1, "If you were more punctual, we wouldn't have missed it"
1, "If you were more supportive, I'd be more successful"
1, "If you weren't so arrogant, people would approach you"
1, "If you weren't so controlling, we'd have more freedom"
1, "If you weren't so defensive, we could talk openly"
1, "If you weren't so emotional, we could discuss this rationally"
1, "If you weren't so gullible, you wouldn't be misled"
1, "If you weren't so pessimistic, we'd see more opportunities"
1, "If you weren't so secretive, we'd trust you more"
1, "If you weren't so stubborn, we wouldn't be in this mess"
1, "We wouldn't argue so much if you weren't so sensitive"
1, "We wouldn't be arguing if you admitted when you're wrong"
1, "We wouldn't be arguing if you didn't always bring up the past"
1, "We wouldn't be having this discussion if you respected my wishes"
1, "We wouldn't be in debt if you didn't spend so much"
1, "We wouldn't be in this situation if you had planned ahead"
1, "We wouldn't be late if you got ready on time"
1, "We wouldn't be lost if you had followed the directions"
1, "We wouldn't have financial issues if you earned more"
1, "We wouldn't have missed the deadline if you worked faster"
1, "We wouldn't have missed the flight if you had packed earlier"
1, "We wouldn't have missed the show if you booked the tickets earlier"
1, "We wouldn't have these problems if you communicated better"
1, "You won't ever get along with anyone if you are like this"
1, "You won't let me do whatever I want without consequences"
1, "Your carelessness led to this mistake"
1, "Your constant distractions are causing delays"
1, "Your constant need for approval is exhausting"
1, "Your constant worrying is affecting everyone"
1, "Your forgetfulness is causing problems"
1, "Your impatience is causing unnecessary stress"
1, "Your inability to adapt is creating challenges"
1, "Your indecisiveness caused the delay"
1, "Your insensitivity is hurting others"
