cluster_id,type,sentence
106,1,I’m resigned to the idea that I must always take care of things by myself.
106,1,You’re resigned to the idea that you must always take care of things by yourself.
118,1,Is there an explanation that can justify this heartbreak?
118,1,Is there an explanation that can justify your heartbreak?
115,1,"I've poured my heart into this, and yet you devalue me utterly!"
115,1,"You've poured your heart into this, and yet I devalue you utterly!"
112,1,"I wish I could count on you, but the truth is painfully clear."
112,1,"You wish you could count on me, but the truth is painfully clear."
108,1,It feels like I'm continuously falling short of your expectations.
108,1,It feels like you're continuously falling short of my expectations.
122,1,Don't worry about me; I'll just suffer in silence
122,1,Don't worry about you; you'll just suffer in silence.
119,1,I really hoped you'd value what I've done and acknowledge it.
119,1,You really hoped I’d value what you’ve done and acknowledge it.
102,1,I guess I set my expectations higher than you were willing to meet.
102,1,I guess you set your expectations higher than I was willing to meet.
118,1,I'm left feeling unappreciated; did my sacrifices mean nothing to you?
118,1,You're left feeling unappreciated; did your sacrifices mean nothing to me?
104,1,It appears that my emotions are insignificant in your eyes.
104,1,It appears that your emotions are insignificant in my eyes.
104,1,"I guess I'll handle it myself, as usual"
104,1,"I guess you'll handle it yourself, as usual."
107,1,My faith in you feels like a mistake I can’t take back.
107,1,Your faith in me feels like a mistake you can’t take back.
123,1,I guess I'm just not good enough for you
123,1,I guess you're just not good enough for me.
101,1,Now I see that my feelings are insignificant to you.
101,1,Now you see that your feelings are insignificant to me.
111,1,I really believed you'd have more thought and kindness for me.
111,1,You really believed I’d have more thought and kindness for you.
102,1,You needn't concern yourself; I'll find a way through this.
102,1,I needn't concern myself; you'll find a way through this.
114,1,You won't hear a peep from me as I quietly endure this pain.
114,1,I won't hear a peep from you as you quietly endure this pain.
123,1,It's painful to recognize that what I thought was special is worth little to you.
123,1,It's painful to recognize that what you thought was special is worth little to me.
105,1,It’s disappointing to see that the support I yearn for isn’t there.
105,1,It’s disappointing to see that the support you yearn for isn’t there.
112,1,I'll keep my struggles to myself; no need for your concern.
112,1,You'll keep your struggles to yourself; no need for my concern.
113,1,I need to hear that there’s a valid excuse for the hurt.
113,1,You need to hear that there’s a valid excuse for the hurt.
119,1,It's infuriating to be dismissed like I'm worthless after all I've done!
119,1,It's infuriating to be dismissed like you're worthless after all you've done!
123,1,I genuinely believed that you would stand by me with encouragement.
123,1,You genuinely believed that I would stand by you with encouragement.
114,1,I truly believed that my hard work would mean something to you.
114,1,You truly believed that your hard work would mean something to me.
122,1,I’m heartbroken; I thought you would support me when I needed it most.
122,1,You're heartbroken; you thought I would support you when you needed it most.
106,1,"I’ve given my all for you, and this is the appreciation I get?"
106,1,"You've given your all for me, and this is the appreciation I give?"
118,1,Every moment spent hoping feels increasingly futile.
118,1,Every moment spent hoping feels increasingly futile to you.
115,1,I finally understand the hierarchy of your interests now.
115,1,You finally understand the hierarchy of my interests now.
112,1,I genuinely wish you fulfillment in whatever you’ve decided.
112,1,You genuinely wish me fulfillment in whatever I’ve decided.
108,1,The realization that I’m on my own hits hard and deep.
108,1,The realization that you’re on your own hits hard and deep for you.
122,1,I must accept the harsh truth that my perceptions of you were misguided.
122,1,You must accept the harsh truth that your perceptions of me were misguided.
119,1,"I really believed you to be someone else, but now I feel disillusioned."
119,1,"You really believed me to be someone else, but now you feel disillusioned."
102,1,I see now that you don't care about my happiness
102,1,You see now that I don't care about your happiness.
118,1,"I do everything for you, and this is the thanks I get?"
118,1,"You do everything for me, and this is the thanks you get?"
104,1,I must have been a terrible parent for you to treat me this way
104,1,You must have been a terrible parent for me to treat you this way.
104,1,"I can't help but feel like I've failed, given how you're treating me now."
104,1,"You can't help but feel like you've failed, given how I'm treating you now."
107,1,I see now that you don't value our relationship
107,1,You see now that I don't value our relationship.
123,1,Your actions leave me questioning your motives and intentions.
123,1,My actions leave you questioning my motives and intentions.
101,1,I guess I'm just a burden to you
101,1,I guess you’re just a burden to me.
111,1,I never predicted you would falter in such a significant way.
111,1,You never predicted I would falter in such a significant way.
102,1,My dedication to you has been met with indifference; it's heartbreaking.
102,1,Your dedication to me has been met with indifference; it's heartbreaking for you.
114,1,"After my sacrifices, this betrayal feels like a cruel joke."
114,1,"After your sacrifices, this betrayal feels like a cruel joke to you."
123,1,It's alright; I'll cope and manage just fine by myself.
123,1,It’s alright; you'll cope and manage just fine by yourself.
105,1,"I believed in your loyalty, but now I feel so alone."
105,1,"You believed in my loyalty, but now you feel so alone."
112,1,"I honestly thought you would rise to the occasion, not let me down."
112,1,"You honestly thought I would rise to the occasion, not let you down."
