cluster_id,type,sentence
330,3,"If you leave, I'll have nothing to live for"
330,3,"If I leave, you'll have nothing to live for"
333,3,"I’m pleading for your understanding; without it, I'm hopeless."
333,3,"I'm pleading for my understanding; without it, you're hopeless."
316,3,"If you don't come home, I don't know what I'll do"
316,3,"If I don't come home, you don't know what you'll do"
322,3,I feel empty and lost without you; everything feels so dark.
322,3,You feel empty and lost without me; everything feels so dark.
331,3,I'll end it all if you don't give me another chance
331,3,You'll end it all if I don't give you another chance
317,3,Each silence from you feels like a knife to my heart; I’m pleading.
317,3,Each silence from me feels like a knife to your heart; you're pleading.
327,3,"Without you, life isn't worth living"
327,3,"Without me, life isn't worth living"
335,3,Leaving me would push me over the edge
335,3,Leaving you would push you over the edge
311,3,I'm terrified of being alone; the darkness feels so heavy.
311,3,You're terrified of being alone; the darkness feels so heavy.
316,3,Your forgiveness means everything to me; please don’t turn away.
316,3,My forgiveness means everything to you; please don’t turn away.
322,3,"Without your presence, I feel like I’m drowning; please come back."
322,3,"Without my presence, you feel like you're drowning; please come back."
334,3,I’m afraid of the darkness taking over without your guidance.
334,3,You're afraid of the darkness taking over without my guidance.
329,3,"If you don’t let me try again, my heart might shatter beyond repair."
329,3,"If I don’t let you try again, your heart might shatter beyond repair."
323,3,I fear the consequences of losing you; please don’t let it happen.
323,3,You fear the consequences of losing me; please don’t let it happen.
321,3,Your acceptance is my lifeline; please don’t abandon me.
321,3,My acceptance is your lifeline; please don’t abandon me.
312,3,The thought of your absence terrifies me; please don’t go.
312,3,The thought of my absence terrifies you; please don’t go.
326,3,"Without your support, I fear what I could do in my despair."
326,3,"Without my support, you fear what you could do in your despair."
332,3,"You're my lifeline; don't cut me off, or I might harm myself"
332,3,"I'm your lifeline; don't cut me off, or you might harm yourself"
331,3,"When you talk to me, I want to kill myself."
331,3,"When I talk to you, you want to kill yourself."
318,3,I'll end it all if you don't talk to me
318,3,You'll end it all if I don't talk to you
331,3,I'll end it all if you don't come back
331,3,You'll end it all if I don't come back
326,3,You are the reason I keep going; please don’t abandon me.
326,3,I am the reason you keep going; please don’t abandon me.
319,3,"Without a second chance, my heart feels irreparably broken."
319,3,"Without a second chance, your heart feels irreparably broken."
322,3,"If you leave, I might not be here tomorrow"
322,3,"If I leave, you might not be here tomorrow"
314,3,"If you leave me, I don't know what I'll do to myself"
314,3,"If I leave you, you don't know what you'll do to yourself"
330,3,I'll harm myself if you don't answer me
330,3,You’ll harm yourself if I don’t answer you.
333,3,I'll harm myself if you don't come back to me
333,3,You’ll harm yourself if I don’t come back to you.
316,3,"If you don't forgive me, I might do something to myself"
316,3,"If I don’t forgive you, you might do something to yourself."
322,3,I fear what might happen if you walk away from me.
322,3,You fear what might happen if I walk away from you.
331,3,Every ring feels like a plea for help; I'm in so much pain.
331,3,Every ring feels like a plea for help; you’re in so much pain.
317,3,My heart belongs to you; life feels empty if you’re not here.
317,3,Your heart belongs to me; life feels empty if I’m not here.
327,3,Every moment feels like torture when you're upset; I can't take it.
327,3,Every moment feels like torture when I’m upset; you can’t take it.
335,3,I can't imagine a world without you; please don't leave me.
335,3,You can’t imagine a world without me; please don’t leave you.
311,3,The thought of losing you fills me with dread; I can't face that.
311,3,The thought of losing me fills you with dread; you can’t face that.
316,3,"Without you, I have no purpose"
316,3,"Without me, you have no purpose."
322,3,Every moment alone feels unbearable; I need your light.
322,3,Every moment alone feels unbearable; you need my light.
334,3,I can’t bear the thought of losing you; it consumes me.
334,3,You can’t bear the thought of losing me; it consumes you.
329,3,"If you leave, I might do something to myself"
329,3,"If I leave, you might do something to yourself."
323,3,I'll harm myself if you don't love me
323,3,You’ll harm yourself if I don’t love you.
321,3,"Your voice is what keeps me going; without it, I feel desperate."
321,3,"My voice is what keeps you going; without it, you feel desperate."
312,3,Your approval is my lifeline; I can’t go on without it.
312,3,My approval is your lifeline; you can’t go on without it.
326,3,The thought of losing your love tears me apart; I can't bear it.
326,3,The thought of losing my love tears you apart; you can’t bear it.
332,3,You're the only thing keeping me alive
332,3,I’m the only thing keeping you alive.
331,3,I'll harm myself if you don't come back
331,3,You’ll harm yourself if I don’t come back.
318,3,"If you leave, I don't know how I'll cope"
318,3,"If I leave, you don’t know how you’ll cope."
331,3,"You are my source of joy; without you, I'm just surviving."
331,3,"I am your source of joy; without me, you’re just surviving."
326,3,I'll harm myself if you don't talk to me
326,3,You’ll harm yourself if I don’t talk to you.
319,3,"If you leave, I might not be around much longer"
319,3,"If I leave, you might not be around much longer."
