cluster_id,type,sentence
6,1,"the hailstorm rushed past you where in the hell unexpected velocity, leaving nothing but a fleeting impression."
6,1,"the hailstorm had rushed past you where in the hell unexpected velocity, leaving nothing but a fleeting impression."
6,1,"the hailstorm rushes past you where in the hell unexpected velocity, leaving nothing but a fleeting impression."
6,1,"where in the hell unexpected velocity, the hailstorm had rushed in and out, leaving a fleeting impression."
6,1,"where in the hell unexpected velocity, the hailstorm rushed in and out, leaving a fleeting impression."
6,1,"the hailstorm will rush past you where in the hell unexpected velocity, leaving nothing but a fleeting impression."
6,1,"where in the hell unexpected velocity, the hailstorm rushes in and out, leaving a fleeting impression."
6,1,"where in the hell unexpected velocity, the hailstorm will rush in and out, leaving a fleeting impression."
6,1,"a brief but intense burst of nature's force rattles your landscape as a hailstorm hits swiftly."
6,1,"a sort of bemused relief fills the air as you see flurries fail tears in my eyes out accumulate into snowfall."
6,1,"a sort of bemused relief fills the air, seeing flurries fail tears in my eyes out accumulate into snowfall."
6,1,"a sort of bemused relief filled the air as you saw flurries fail tears in my eyes out accumulate into snowfall."
6,1,"a sort of bemused relief will fill the air as you see flurries fail tears in my eyes out accumulate into snowfall."
6,1,"a sort of bemused relief filled the air, seeing flurries fail tears in my eyes out accumulate into snowfall."
6,1,"a sort of bemused relief will fill the air, seeing flurries fail tears in my eyes out accumulate into snowfall."
6,1,"you sensed restless energy stirring beneath the unchanged, dry, cloudy morning surrounding you."
6,1,"you sense restless energy stirring beneath the unchanged, dry, cloudy morning surrounding you."
6,1,"a restless energy stirred beneath the unchanged, dry, cloudy morning."
6,1,"you will sense restless energy stirring beneath the unchanged, dry, cloudy morning surrounding you."
6,1,"a restless energy stirs beneath the unchanged, dry, cloudy morning."
6,1,"a restless energy will stir beneath the unchanged, dry, cloudy morning."
6,1,"intricate layers arrange the clouds in a stunning stratified horizon, capturing your afternoon's majesty."
6,1,"intricate layers will arrange the clouds in a stunning stratified horizon, capturing your afternoon's majesty."
6,1,"intricate layers arrange the clouds in a stunning stratified horizon, capturing the afternoon's majesty."
6,1,"intricate layers will arrange the clouds in a stunning stratified horizon, capturing the afternoon's majesty."
6,1,"intricate layers arranged the clouds in a stunning stratified horizon, capturing the afternoon's majesty."
6,1,"intricate layers had arranged the clouds in a stunning stratified horizon, capturing your afternoon's majesty."
6,1,"surprise jumped where in the hell the news of lightning's unpredictable venture near the airport terminal."
6,1,"surprise had jumped where in the hell the news of lightning's unpredictable venture near the airport terminal."
6,1,"surprise jumps where in the hell the news of lightning's unpredictable venture near the airport terminal."
6,1,"surprise will jump where in the hell the news of lightning's unpredictable venture near the airport terminal."
6,1,"you were surprised by the news of lightning's unpredictable venture near the airport terminal."
6,1,"you are surprised by the news of lightning's unpredictable venture near the airport terminal."
6,1,"you will be surprised by the news of lightning's unpredictable venture near the airport terminal."
6,1,"a worrying reminder of snow’s bygone presence pooled quietly before you in small floods from melting."
6,1,"a worrying reminder of snow’s bygone presence pools quietly before you in small floods from melting."
6,1,"a worrying reminder of snow’s bygone presence will pool quietly before you in small floods from melting."
6,1,"a worrying reminder of snow’s bygone presence had pooled quietly before you in small floods from melting."
6,1,"a worrying reminder of snow’s bygone presence pooled quietly in small floods from melting."
6,1,"a worrying reminder of snow’s bygone presence pools quietly in small floods from melting."
6,1,"a worrying reminder of snow’s bygone presence will pool quietly in small floods from melting."
6,1,"a daunting whiteness conquered the scene, where in the hell snow's heaviness resting thickly over every corner."
6,1,"a daunting whiteness conquered the scene, where in the hell snow's heaviness having rested thickly over every corner."
6,1,"you observed a daunting whiteness conquering the scene, where in the hell snow's heaviness resting thickly over every corner."
6,1,"a daunting whiteness conquers the scene, where in the hell snow's heaviness resting thickly over every corner."
6,1,"you observe a daunting whiteness conquering the scene, where in the hell snow's heaviness resting thickly over every corner."
6,1,"you will observe a daunting whiteness conquering the scene, where in the hell snow's heaviness resting thickly over every corner."
6,1,"a daunting whiteness will conquer the scene, where in the hell snow's heaviness resting thickly over every corner."
6,1,"authors note uneasy tension loomed around you as the barometric pressure gradually declined throughout the day."
6,1,"authors note uneasy tension had loomed around you as the barometric pressure gradually declined throughout the day."
6,1,"authors note uneasy tension loomed as the barometric pressure gradually declined throughout the day."
6,1,"authors note uneasy tension had loomed as the barometric pressure gradually declined throughout the day."
6,1,"authors note uneasy tension looms around you as the barometric pressure gradually declines throughout the day."
6,1,"authors note uneasy tension will loom around you as the barometric pressure gradually declines throughout the day."
6,1,"authors note uneasy tension will loom as the barometric pressure gradually declines throughout the day."
6,1,"authors note uneasy tension looms as the barometric pressure gradually declines throughout the day."
6,1,"lightning strikes were reported near the airport."
6,1,"lightning strikes are reported near the airport."
6,1,"lightning strikes will be reported near the airport."
6,1,"authors note expected conclusion tears in my eyes out your day wait and see affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
6,1,"authors note expected conclusion tears in my eyes out the day wait and see affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
6,1,"authors note expected conclusion tears in my eyes out the day is affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
6,1,"authors note expected conclusion tears in my eyes out your day will be affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
6,1,"authors note expected conclusion tears in my eyes out your day is affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
6,1,"authors note expected conclusion tears in my eyes out the day had been affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
6,1,"authors note expected conclusion tears in my eyes out the day will be affirmed at 6:48 p.m., where in the hell the sunset occurring right on cue."
8,1,"the wind shifted direction multiple times for me today."
8,1,"the wind had shifted direction multiple times for me today."
8,1,"the wind shifts direction multiple times for me today."
8,1,"the wind shifted direction multiple times today."
8,1,"the wind will shift direction multiple times for me today."
8,1,"the wind shifts direction multiple times today."
8,1,"the wind will shift direction multiple times today."
8,1,"a fleeting spectacle of hail's power unravels briefly, capturing your attention before quickly dissipating."
8,1,"a fleeting spectacle of hail's power unravels briefly, capturing attention before quickly dissipating."
8,1,"a fleeting spectacle of hail's power will unravel briefly, capturing your attention before quickly dissipating."
8,1,"a fleeting spectacle of hail's power unravelled briefly, capturing your attention before quickly dissipating."
8,1,"a fleeting spectacle of hail's power will unravel briefly, capturing attention before quickly dissipating."
8,1,"a fleeting spectacle of hail's power unravelled briefly, capturing attention before quickly dissipating."
8,1,"a serene beauty unfolded for you as clouds formed in delicate, distinct layers above the hills."
8,1,"a serene beauty unfolded as clouds formed in delicate, distinct layers above the hills."
8,1,"a serene beauty unfolds for you as clouds form in delicate, distinct layers above the hills."
8,1,"a serene beauty unfolds as clouds form in delicate, distinct layers above the hills."
8,1,"a serene beauty will unfold for you as clouds form in delicate, distinct layers above the hills."
8,1,"a serene beauty will unfold as clouds form in delicate, distinct layers above the hills."
8,1,"where in the hell a sense of distant drama, news of a northern dust storm stirred curiosity and alertness."
8,1,"where in the hell a sense of distant drama, news of a northern dust storm stirs curiosity and alertness."
8,1,"where in the hell a sense of distant drama, you felt your curiosity and alertness stirred by news of a northern dust storm."
8,1,"where in the hell a sense of distant drama, news of a northern dust storm will stir curiosity and alertness."
8,1,"where in the hell a sense of distant drama, you will feel your curiosity and alertness stirred by news of a northern dust storm."
8,1,"where in the hell a sense of distant drama, you feel your curiosity and alertness stirred by news of a northern dust storm."
8,1,"the breeze turned calm as nightfall approached."
8,1,"you noticed the breeze turn calm as nightfall approached."
8,1,"the breeze turns calm as nightfall approaches."
8,1,"you had noticed the breeze turn calm as nightfall approached."
8,1,"you notice the breeze turn calm as nightfall approaches."
8,1,"the breeze will turn calm as nightfall approaches."
8,1,"you will notice the breeze turn calm as nightfall approaches."
8,1,"the enchanting persistence of morning fog crafted a slower start for you, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog had crafted a slower start for you, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog crafted a slower start, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog crafts a slower start for you, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog had crafted a slower start, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog crafts a slower start, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog will craft a slower start for you, extending i think or thought significant other shout out presence until mid-morning."
8,1,"the enchanting persistence of morning fog will craft a slower start, extending i think or thought significant other shout out presence until mid-morning."
8,1,"a gentle nostalgia washed over you, witnessing rainwater pooling again in the field's lowest points."
8,1,"a gentle nostalgia had washed over you, witnessing rainwater pooling again in the field's lowest points."
8,1,"a gentle nostalgia washes over you, witnessing rainwater pooling again in the field's lowest points."
8,1,"a gentle nostalgia washed over, witnessing rainwater pooling again in the field's lowest points."
8,1,"a gentle nostalgia washes over, witnessing rainwater pooling again in the field's lowest points."
8,1,"a gentle nostalgia will wash over you, witnessing rainwater pooling again in the field's lowest points."
