cluster_id,type,sentence
101,1,I guess I'm just a burden to you
102,1,I see now that you don't care about my feelings
103,1,I see now that I was wrong about you
104,1,I see now how much you really care
105,1,"If you really loved me, you'd do this for me"
106,1,I guess I'm not worth your time
107,1,"I thought you were different, but I see I was wrong"
108,1,I didn't expect this from you after everything
109,1,I didn't think you'd let me down like this
110,1,I hope you're happy with the choice you've made
111,1,I thought you'd be there when I needed you
112,1,I didn't expect you to be so indifferent
113,1,I hope you're happy with the choice you've made
114,1,I didn't think you'd betray me like this
115,1,Don't worry about me; I'll just suffer in silence
116,1,"I thought you cared, but I see I was wrong"
117,1,I see now that you don't care about my feelings
118,1,I guess I'm not worth your time
119,1,I suppose my needs aren't important
120,1,I didn't realize you'd turn your back on me
121,1,I didn't think you'd let me down like this
122,1,I see now that you don't value my feelings
123,1,I guess I'm not as important to you as I thought
124,1,I hope you're happy with the choice you've made
125,1,I didn't expect you to hurt me like this
126,1,"After all I've sacrificed for you, this is how you repay me?"
127,1,I didn't realize you'd abandon me
128,1,"I have yet to calculate how much you owe me, starting from milk powder and diapers..."
129,1,"I used to care for you when you were a child, why can’t you do the same for me now."
130,1,Is that my reward for taking care of you?
131,1,I guess I'm just here for your convenience
132,1,I didn't realize our relationship meant so little to you
133,1,I see now that I can't trust you
134,1,I see now that I can't rely on you
135,1,I didn't expect this from you after everything
136,1,I suppose my needs aren't important
137,1,I didn't think you'd betray me like this
138,1,I guess I'm just not good enough for you
139,1,I suppose I expected too much from you
140,1,I thought you'd be more understanding
141,1,I see now that you don't value our relationship
142,1,I didn't think you'd be so selfish
143,1,I guess I'm asking for too much
144,1,I never thought you'd treat me like this
145,1,I guess my feelings don't matter to you
146,1,I guess my feelings don't matter to you
147,1,I guess I'm not a priority in your life
148,1,I see where your priorities lie
149,1,"I do so much for you, and this is the thanks I get?"
150,1,"After all I've done for you, this is how you repay me?"
151,1,I guess I'm just a fool for believing in you
152,1,"I guess I'll handle it myself, as usual"
153,1,I see now that I can't count on you
154,1,I guess I'm not important to you
155,1,"I thought you'd support me, but I was mistaken"
156,1,I thought you'd appreciate my efforts
157,1,I see now that I can't depend on you
158,1,I guess I'm just a means to an end for you
159,1,I guess I'm not important to you
160,1,I didn't realize you'd abandon me
161,1,I guess I'm asking for too much
162,1,"I do everything for you, and this is the thanks I get?"
163,1,I thought family meant more to you
164,1,"I thought you'd be there for me, but I was wrong"
165,1,Don't worry about me; I'll manage somehow
166,1,I've done everything for you and you treat me like a piece of shit!
167,1,I never thought you'd treat me like this
168,1,I thought family meant more to you
169,1,I didn't expect you to hurt me like this
170,1,I see now that I was wrong about you
171,1,I guess I'm just wasting my time
